,county,chlorine
168,"Marshall, Illinois",841.4634146341464
169,"Martin, Florida",150.0
170,"Mason, Illinois",1029.1304347826087
171,"Massac, Illinois",1468.125
172,"Mcdonough, Illinois",851.3953488372093
173,"Mchenry, Illinois",854.0625
174,"Mckean county, Pennsylvania",1392.9347826086957
175,"Mckean, Pennsylvania",967.3965265378997
176,"Mclean, Illinois",1379.032258064516
177,"Menard, Illinois",860.4545454545455
178,"Mercer county, Pennsylvania",1755.8481271282633
179,"Mercer, Illinois",1181.4285714285713
180,"Mercer, Pennsylvania",2479.977335276024
181,"Mifflin county, Pennsylvania",1035.1196172248804
182,"Mifflin, Pennsylvania",760.3388673621462
183,"Milwaukee, Wisconsin",70.66693104815766
184,"Monroe county, Pennsylvania",507.8545454545455
185,"Monroe, Illinois",1861.6666666666667
186,"Monroe, Pennsylvania",879.9661647369368
187,"Monroe, Wisconsin",6.9782525753529185
188,"Montgomery county, Pennsylvania",492.77886497064577
189,"Montgomery, Illinois",807.0731707317074
190,"Montgomery, Pennsylvania",820.4988507707724
191,"Montour, Pennsylvania",1259.9007285974499
192,"Morgan, Illinois",953.7777777777778
193,"Morris, New Jersey",0.0
194,"Moultrie, Illinois",1289.642857142857
195,"Northampton county, Pennsylvania",1411.8022328548645
196,"Northampton, Pennsylvania",1285.8658945844575
197,"Northumberland, Pennsylvania",1534.2749514582636
198,"Oconto, Wisconsin",0.9512578616352201
199,"Ogle, Illinois",822.987012987013
200,"Oneida, Wisconsin",2.598870056497175
201,"Outagamie, Wisconsin",635.995475706511
202,"Ozaukee, Wisconsin",8.487712665406427
203,"Peoria, Illinois",800.5813953488372
204,"Pepin, Wisconsin",0.0
205,"Perry county, Pennsylvania",535.7005444646098
206,"Perry, Illinois",2183.3333333333335
207,"Perry, Pennsylvania",875.3553305996925
208,"Philadelphia, Pennsylvania",2391.064955984558
209,"Piatt, Illinois",853.125
210,"Pierce, Wisconsin",0.741132874536792
211,"Pike, Illinois",1038.723404255319
212,"Pike, Pennsylvania",867.5512092534175
213,"Polk, Wisconsin",0.9927360774818402
214,"Pope, Illinois",920.0
215,"Portage county, Wisconsin",3.8237265415549597
216,"Portage, Wisconsin",0.5388272583201268
217,"Potter, Pennsylvania",1110.1923076923076
218,"Price, Wisconsin",0.0
219,"Pulaski, Illinois",1044.5833333333333
220,"Putnam, Illinois",1134.375
221,"Racine, Wisconsin",100.78852383155946
222,"Randolph, Illinois",1250.625
223,"Richland, Illinois",1200.0
224,"Richland, Wisconsin",9.883211678832117
225,"Rock island, Illinois",1668.1012658227849
226,"Rock, Wisconsin",66.85406464250734
227,"Rusk, Wisconsin",4.846796657381615
228,"Saline, Illinois",1184.5714285714287
229,"Sangamon, Illinois",1048.5185185185185
230,"Saratoga, New York",800.0
231,"Sauk, Wisconsin",36.154493229380385
232,"Sawyer, Wisconsin",0.0
233,"Schuyler, Illinois",664.0
234,"Schuylkill, Pennsylvania",1080.5041599403949
235,"Scott, Illinois",1155.2631578947369
236,"Shawano, Wisconsin",7.491138243402914
237,"Sheboygan, Wisconsin",347.440373314898
238,"Shelby, Illinois",1036.1363636363637
239,"Snyder county, Pennsylvania",357.63349514563106
240,"Snyder, Pennsylvania",961.7995081730073
241,"Somerset county, Pennsylvania",720.6451612903226
242,"Somerset, Pennsylvania",1540.7321873998665
243,"St. clair, Illinois",1521.0869565217392
244,"St. croix, Wisconsin",0.2413127413127413
245,"Stark, Illinois",1002.0
246,"Stephenson, Illinois",1102.9787234042553
247,"Sullivan, Pennsylvania",352.3757575757576
248,"Susquehanna, Pennsylvania",1920.1592356687897
249,"Taylor, Wisconsin",0.9491059147180193
250,"Tazewell, Illinois",905.6435643564356
251,"Tioga county, Pennsylvania",1255.336605890603
252,"Tioga, Pennsylvania",1258.7449530516433
253,"Tolland, Connecticut",0.0
254,"Trempealeau, Wisconsin",3.7613168724279835
255,"Union county, Pennsylvania",610.0
256,"Union, Illinois",1374.642857142857
257,"Union, Pennsylvania",1434.3392857142858
258,"Venango county, Pennsylvania",1075.1020408163265
259,"Venango, Pennsylvania",1496.7499147630413
260,"Vermilion, Illinois",929.620253164557
261,"Vernon, Wisconsin",10.044139283962727
262,"Vilas, Wisconsin",0.5647517039922103
263,"Wabash, Illinois",1170.4166666666667
264,"Walworth, Wisconsin",103.1757452412307
265,"Warren county, Pennsylvania",714.2933130699088
266,"Warren, Illinois",1394.5833333333333
267,"Warren, Pennsylvania",713.7688932228182
268,"Washburn, Wisconsin",4.140350877192983
269,"Washington, Illinois",2117.8571428571427
270,"Washington, Pennsylvania",27482.39381520119
271,"Washington, Wisconsin",68.11311452317227
272,"Waukesha, Wisconsin",70.64016506189822
273,"Waupaca, Wisconsin",64.6127562642369
274,"Waushara, Wisconsin",1.0753880266075388
275,"Wayne, Illinois",1295.0
276,"Wayne, Pennsylvania",1008.6216564153913
277,"Westmoreland, Pennsylvania",1004.5114359031575
278,"White, Illinois",1214.090909090909
279,"Whiteside, Illinois",739.5454545454545
280,"Will, Illinois",767.1794871794872
281,"Williamson, Illinois",1680.0
282,"Winnebago, Illinois",884.9
283,"Winnebago, Wisconsin",1448.2568632780647
284,"Wood, Wisconsin",150.14727908137795
285,"Woodford, Illinois",1317.5
286,"Wyoming, Pennsylvania",1238.8511749347258
287,"Wyoming, West Virginia",2300.0
288,"York county, Pennsylvania",770.6996639168958
289,"York, Pennsylvania",1070.8730986340329
