Incidence, US by County, All Races, Kidney & Renal Pelvis (Both Sexes), 2013 - 2017
Area,Age-Adjusted Rate per 100,000,Lower CI,Upper CI,Count
"Franklin, Virginia","42.3","25.1","67.1","21"
"Holmes, Mississippi","41.2","29.3","56.5","41"
"Randolph, Arkansas","38.7","27.1","53.6","41"
"Cass, Illinois","38.7","25.8","56.0","30"
"Greene, Illinois","37.7","24.8","55.1","29"
"Powell, Kentucky","36.4","22.6","55.4","23"
"Nolan, Texas","35.8","24.4","50.9","34"
"Richmond, Virginia","35.8","22.3","55.6","22"
"Hamilton, Illinois","35.8","21.3","57.3","20"
"Meigs, Tennessee","35.7","22.8","53.7","27"
"Livingston, Kentucky","35.6","20.7","57.5","20"
"Allen, Louisiana","35.3","26.1","46.7","50"
"Tippah, Mississippi","35.2","25.7","47.4","46"
"Noxubee, Mississippi","34.7","21.1","54.0","21"
"Pendleton, Kentucky","34.7","22.6","51.0","28"
"Union, Florida","34.7","23.7","49.6","34"
"Roosevelt, Montana","33.8","19.2","54.8","17"
"Clay, Illinois","33.6","21.6","50.1","28"
"Edmonson, Kentucky","33.6","21.5","50.5","27"
"Rockcastle, Kentucky","33.5","23.0","47.5","35"
"Clay, Arkansas","33.3","21.8","48.8","30"
"Swain, North Carolina","32.9","21.6","48.2","29"
"Dawson, Texas","32.8","20.3","50.1","22"
"Crittenden, Kentucky","32.7","19.6","52.1","21"
"Butler, Kentucky","32.7","20.6","49.6","24"
"McLean, Kentucky","32.7","19.6","51.9","20"
"Benton, Mississippi","32.6","18.2","54.4","16"
"Menard, Illinois","32.4","20.3","49.4","25"
"Monroe, Arkansas","32.2","17.4","55.1","16"
"Greene, Iowa","32.2","19.7","50.8","23"
"Jasper, Texas","32.1","24.6","41.2","70"
"Owen, Kentucky","31.9","19.3","50.2","21"
"Henry, Kentucky","31.8","21.3","46.0","31"
"Madison, Missouri","31.8","20.1","48.2","24"
"Logan, West Virginia","31.4","24.1","40.2","71"
"St. Helena, Louisiana","31.4","18.9","49.5","21"
"Scott, Missouri","31.2","24.2","39.7","72"
"Brunswick, Virginia","31.1","21.4","44.1","36"
"Glacier, Montana","30.9","18.6","48.3","20"
"Prentiss, Mississippi","30.9","22.7","41.2","49"
"Pike, Indiana","30.9","19.5","47.0","25"
"Vermillion, Indiana","30.7","20.5","44.5","31"
"Choctaw, Mississippi","30.7","17.6","50.5","18"
"King William, Virginia","30.6","20.2","44.6","29"
"Wayne, Missouri","30.6","20.0","45.5","31"
"Chickasaw, Mississippi","30.6","20.9","43.4","33"
"Lincoln, Wisconsin","30.5","23.2","39.8","63"
"Martin, Kentucky","30.2","18.7","46.7","22"
"Greensville, Virginia","30.1","18.7","46.5","22"
"Winston, Mississippi","30.0","20.9","42.1","37"
"Warren, North Carolina","29.9","20.9","41.9","41"
"Cleveland, Arkansas","29.9","16.5","50.3","16"
"Clay, Iowa","29.8","19.7","43.5","30"
"Grant, Arkansas","29.8","20.4","42.4","34"
"Keith, Nebraska","29.8","16.6","50.4","18"
"Yazoo, Mississippi","29.7","21.6","40.0","45"
"St. Clair, Missouri","29.7","17.8","47.9","22"
"St. Mary, Louisiana","29.7","23.6","36.9","86"
"Martin, Indiana","29.7","17.4","47.8","19"
"Carroll, Tennessee","29.6","21.4","40.0","48"
"Carroll, Kentucky","29.5","16.9","47.8","17"
"Bibb, Alabama","29.5","20.9","40.6","40"
"Posey, Indiana","29.5","20.9","40.3","43"
"Crawford, Missouri","29.4","20.8","40.3","42"
"Little River, Arkansas","29.4","17.9","45.7","22"
"Clinton, Missouri","29.3","20.4","41.0","37"
"Clay, Kentucky","29.2","19.9","41.4","33"
"DeWitt, Texas","29.2","20.6","40.3","41"
"Larue, Kentucky","29.1","18.6","43.7","25"
"Adams, Ohio","28.8","21.0","38.6","49"
"Macoupin, Illinois","28.8","22.9","35.9","91"
"Scott, Tennessee","28.8","20.1","40.2","38"
"Frio, Texas","28.6","18.4","42.4","25"
"Goochland, Virginia","28.6","20.4","39.4","45"
"Craighead, Arkansas","28.6","24.1","33.6","153"
"Caldwell, Louisiana","28.5","16.3","46.8","17"
"Okfuskee, Oklahoma","28.4","17.1","44.5","20"
"Caroline, Virginia","28.4","20.9","37.8","50"
"Shelby, Iowa","28.4","16.9","45.3","22"
"Madison, Louisiana","28.3","16.3","45.9","17"
"Lincoln, West Virginia","28.3","19.7","39.5","38"
"Montgomery, Mississippi","28.2","16.4","45.6","19"
"Clark, Arkansas","28.2","19.4","39.7","35"
"Christian, Illinois","28.1","21.4","36.4","63"
"Page, Iowa","28.1","18.5","41.2","30"
"Franklin, Louisiana","28.1","19.6","39.3","37"
"Allendale, South Carolina","28.0","15.8","46.5","17"
"Garrard, Kentucky","28.0","18.8","40.6","31"
"Cedar, Missouri","28.0","18.4","41.4","30"
"Cerro Gordo, Iowa","27.9","21.9","35.0","85"
"Bertie, North Carolina","27.9","19.8","38.7","42"
"Okmulgee, Oklahoma","27.8","21.3","35.7","68"
"Bienville, Louisiana","27.8","17.1","42.9","23"
"Mingo, West Virginia","27.8","19.9","37.9","45"
"Carter, Kentucky","27.8","19.8","37.9","43"
"Floyd, Kentucky","27.8","21.2","35.9","65"
"Mason, Kentucky","27.7","18.4","40.3","30"
"Cibola, New Mexico","27.7","19.9","37.7","43"
"Noble, Ohio","27.6","16.3","43.8","23"
"Putnam, Indiana","27.6","21.1","35.5","64"
"Union, Mississippi","27.6","20.0","37.2","45"
"Williamson, Illinois","27.4","22.4","33.3","112"
"Kiowa, Oklahoma","27.4","15.2","46.0","17"
"Wayne, Illinois","27.3","18.1","39.8","31"
"Sunflower, Mississippi","27.3","19.3","37.7","39"
"Morehouse, Louisiana","27.3","19.3","37.5","43"
"Ottawa, Oklahoma","27.2","19.9","36.2","51"
"Pointe Coupee, Louisiana","27.2","19.2","37.6","42"
"Vernon, Louisiana","27.1","20.7","34.8","62"
"Kleberg, Texas","27.1","18.9","37.6","37"
"Sabine, Louisiana","27.1","18.8","37.9","38"
"Montgomery, Arkansas","27.0","14.6","46.3","18"
"Jackson, Texas","27.0","17.1","40.8","25"
"White, Illinois","27.0","17.1","40.9","26"
"Vilas, Wisconsin","27.0","18.2","38.9","45"
"Stoddard, Missouri","27.0","19.9","36.0","51"
"Neshoba, Mississippi","26.9","19.2","36.8","42"
"White, Tennessee","26.9","18.9","37.1","41"
"Richland, Illinois","26.9","18.1","39.1","31"
"Hale, Alabama","26.9","16.8","41.1","24"
"Chariton, Missouri","26.9","15.1","46.0","17"
"Dimmit, Texas","26.9","15.1","44.5","16"
"St. John the Baptist, Louisiana","26.8","20.3","34.8","61"
"Lafourche, Louisiana","26.8","22.6","31.6","151"
"Tishomingo, Mississippi","26.8","18.6","37.7","37"
"Caswell, North Carolina","26.8","19.1","36.9","44"
"Ritchie, West Virginia","26.8","15.3","44.3","18"
"Pike, Mississippi","26.8","20.4","34.6","63"
"Iberville, Louisiana","26.7","19.6","35.5","50"
"Wharton, Texas","26.7","20.6","34.1","69"
"Maverick, Texas","26.7","20.8","33.8","71"
"Hot Spring, Arkansas","26.7","20.0","35.0","57"
"Braxton, West Virginia","26.6","17.0","40.1","27"
"Bolivar, Mississippi","26.6","19.6","35.5","51"
"San Patricio, Texas","26.6","21.5","32.5","99"
"Evangeline, Louisiana","26.5","19.6","35.1","51"
"Henry, Missouri","26.5","18.5","37.0","40"
"Vermilion, Louisiana","26.5","21.1","32.9","87"
"Washington, Indiana","26.5","19.1","36.0","45"
"La Salle, Louisiana","26.5","16.8","40.0","24"
"St. Landry, Louisiana","26.4","21.9","31.5","130"
"Mississippi, Missouri","26.4","16.4","40.5","22"
"Poinsett, Arkansas","26.4","18.7","36.6","40"
"Wapello, Iowa","26.3","19.8","34.4","58"
"Essex, Virginia","26.3","15.9","41.9","22"
"Langlade, Wisconsin","26.3","17.4","38.3","34"
"Muhlenberg, Kentucky","26.2","19.4","34.8","53"
"Wilbarger, Texas","26.1","15.8","41.1","20"
"Johnson, Arkansas","26.1","18.6","35.6","42"
"Smith, Mississippi","26.1","16.9","38.8","27"
"Macon, Tennessee","26.1","17.8","36.9","34"
"Andrews, Texas","26.1","15.8","40.4","20"
"McDuffie, Georgia","26.1","17.4","37.7","31"
"Converse, Wyoming","26.1","16.0","40.3","22"
"Vernon, Missouri","26.1","17.7","37.2","34"
"Mercer, Kentucky","26.1","18.4","36.4","39"
"Wayne, Georgia","26.1","18.9","35.2","45"
"Ellis, Texas","26.0","22.5","29.8","218"
"Adair, Oklahoma","26.0","17.6","37.1","32"
"Osceola, Michigan","26.0","18.3","36.1","41"
"Randolph, Illinois","26.0","19.6","33.9","59"
"Shelby, Indiana","26.0","20.2","33.0","72"
"Tom Green, Texas","26.0","22.1","30.5","163"
"Webster, Mississippi","26.0","14.5","43.4","16"
"Crook, Oregon","26.0","17.9","36.8","43"
"Acadia, Louisiana","26.0","20.8","32.2","91"
"Montgomery, Illinois","25.9","19.1","34.5","52"
"Union, Oregon","25.9","17.9","36.3","39"
"Owen, Indiana","25.9","18.0","36.4","38"
"Tama, Iowa","25.8","16.9","37.9","29"
"Effingham, Georgia","25.8","20.0","32.7","73"
"Ford, Illinois","25.8","15.9","40.1","22"
"Lincoln, Montana","25.8","18.2","36.3","47"
"Floyd, Indiana","25.8","21.2","31.2","113"
"Humphreys, Tennessee","25.8","17.6","37.1","33"
"Conecuh, Alabama","25.7","15.7","40.2","23"
"Marinette, Wisconsin","25.7","19.9","32.7","78"
"Johnson, Kentucky","25.7","18.1","35.7","40"
"Gasconade, Missouri","25.7","16.7","38.4","29"
"Stewart, Tennessee","25.5","16.3","38.8","25"
"Yell, Arkansas","25.5","17.5","36.0","34"
"Pulaski, Missouri","25.5","18.8","33.8","49"
"Southampton, Virginia","25.4","17.8","35.9","37"
"Lawrence, Ohio","25.4","20.3","31.3","95"
"Ashley, Arkansas","25.4","17.4","35.9","35"
"McLean, North Dakota","25.4","13.9","43.2","17"
"Washington, Ohio","25.3","20.5","30.9","107"
"Clay, Alabama","25.3","15.8","39.0","23"
"St. James, Louisiana","25.3","17.3","36.0","34"
"Fayette, Alabama","25.3","15.8","38.4","25"
"Haralson, Georgia","25.3","18.1","34.6","42"
"Pickens, Georgia","25.3","18.6","33.8","54"
"Concordia, Louisiana","25.3","16.6","37.0","28"
"Muscatine, Iowa","25.3","19.4","32.6","65"
"Independence, Arkansas","25.2","18.8","33.3","54"
"Montgomery, Iowa","25.2","14.3","41.9","17"
"Val Verde, Texas","25.2","19.3","32.4","63"
"Perry, Arkansas","25.2","14.6","41.4","18"
"Simpson, Kentucky","25.1","16.2","37.1","27"
"Gage, Nebraska","25.1","17.0","35.9","36"
"Dickson, Tennessee","25.1","19.9","31.4","82"
"Union, South Carolina","25.1","18.3","33.9","48"
"Scott, Indiana","25.1","17.4","35.3","36"
"Letcher, Kentucky","25.1","17.7","34.9","40"
"Newton, Mississippi","25.1","16.7","36.3","30"
"New Madrid, Missouri","25.1","16.5","36.8","29"
"Clinton, Kentucky","25.1","14.3","41.5","17"
"Woodward, Oklahoma","25.0","16.9","35.8","31"
"Wyoming, West Virginia","25.0","17.4","35.3","39"
"Meade, Kentucky","25.0","17.6","34.6","39"
"Nodaway, Missouri","25.0","16.8","36.2","31"
"Calhoun, Texas","25.0","16.9","35.7","32"
"Wayne, North Carolina","25.0","21.3","29.1","178"
"Callahan, Texas","25.0","15.7","38.3","24"
"Tipton, Indiana","25.0","15.5","38.4","24"
"Hill, Texas","25.0","18.7","33.0","59"
"Hale, Texas","24.9","17.9","33.6","43"
"Morrow, Ohio","24.9","18.4","33.0","52"
"Hardin, Ohio","24.9","18.0","33.8","45"
"Greenup, Kentucky","24.9","18.7","32.6","60"
"Jones, Georgia","24.9","17.8","34.0","42"
"Van Buren, Arkansas","24.9","15.9","37.5","29"
"Laurel, Kentucky","24.8","19.7","30.8","86"
"McIntosh, Oklahoma","24.8","16.6","35.9","36"
"Jackson, Kentucky","24.8","14.7","39.5","19"
"Kewaunee, Wisconsin","24.8","17.1","35.2","35"
"Bell, Texas","24.8","22.2","27.6","357"
"Scotland, North Carolina","24.8","18.4","32.7","54"
"Greene, Arkansas","24.8","19.0","31.8","65"
"Polk, Tennessee","24.7","16.3","36.3","29"
"Apache, Arizona","24.7","19.9","30.4","96"
"Madison, Illinois","24.7","22.2","27.3","391"
"Graves, Kentucky","24.7","18.6","32.3","58"
"Fannin, Texas","24.7","18.4","32.7","54"
"Camp, Texas","24.7","14.6","39.3","19"
"Sangamon, Illinois","24.6","21.8","27.6","306"
"Iberia, Louisiana","24.6","19.8","30.3","94"
"Chambers, Alabama","24.6","18.2","32.6","54"
"Dubois, Indiana","24.6","18.6","31.9","61"
"Copiah, Mississippi","24.6","17.5","33.7","43"
"Spencer, Kentucky","24.5","15.8","36.7","26"
"Amite, Mississippi","24.5","15.1","38.3","23"
"Sussex, Virginia","24.5","14.6","39.4","19"
"Warren, Illinois","24.5","15.2","37.3","24"
"Catahoula, Louisiana","24.4","13.6","41.0","16"
"Morgan, Indiana","24.4","19.8","29.8","105"
"Choctaw, Alabama","24.4","14.9","38.3","23"
"Cabell, West Virginia","24.4","20.5","28.8","147"
"Lawrence, Tennessee","24.4","18.8","31.4","66"
"McClain, Oklahoma","24.4","18.2","32.1","54"
"Loudon, Tennessee","24.3","19.1","30.6","90"
"St. Martin, Louisiana","24.3","19.1","30.5","79"
"Webster, Kentucky","24.3","15.1","37.6","22"
"Macon, Alabama","24.3","15.9","35.8","30"
"Franklin, Illinois","24.3","18.6","31.5","66"
"Jasper, Georgia","24.2","14.4","38.5","20"
"Barren, Kentucky","24.2","18.6","31.0","66"
"Tallahatchie, Mississippi","24.2","14.6","37.9","20"
"Gooding, Idaho","24.2","14.8","37.6","21"
"Green, Kentucky","24.2","14.1","39.6","18"
"Bee, Texas","24.2","17.0","33.4","37"
"Jeff Davis, Georgia","24.2","14.4","38.2","19"
"Lincoln, Louisiana","24.1","17.6","32.0","49"
"Franklin, Iowa","24.1","13.2","40.8","16"
"Henry, Alabama","24.1","15.5","36.1","27"
"Falls, Texas","24.1","15.4","36.1","25"
"Washita, Oklahoma","24.1","14.4","38.5","19"
"Union, South Dakota","24.1","14.8","37.4","22"
"McKinley, New Mexico","24.1","19.2","30.0","85"
"Hinds, Mississippi","24.1","21.4","27.1","303"
"Prince Edward, Virginia","24.1","16.1","35.0","31"
"Hancock, Illinois","24.1","15.6","35.7","30"
"Butler, Missouri","24.1","18.3","31.1","63"
"Atascosa, Texas","24.1","18.5","31.0","65"
"Floyd, Iowa","24.0","15.0","36.7","25"
"Ascension, Louisiana","24.0","20.1","28.4","145"
"Fulton, Illinois","24.0","18.0","31.4","59"
"Rutherford, North Carolina","24.0","19.4","29.4","103"
"Anderson, Kentucky","24.0","16.0","34.6","30"
"Laclede, Missouri","24.0","17.7","31.9","52"
"Amelia, Virginia","24.0","14.6","37.9","22"
"Warrick, Indiana","24.0","19.1","29.9","87"
"Dallas, Alabama","24.0","17.9","31.7","55"
"Covington, Mississippi","24.0","15.3","36.0","25"
"Angelina, Texas","24.0","19.9","28.8","122"
"Dakota, Nebraska","23.9","15.5","35.3","26"
"Bath, Kentucky","23.9","14.3","38.1","19"
"Henry, Illinois","23.9","18.4","30.5","72"
"Keokuk, Iowa","23.9","14.1","39.0","18"
"Vanderburgh, Indiana","23.9","21.0","27.1","259"
"Union, Iowa","23.9","13.7","39.0","18"
"Kingfisher, Oklahoma","23.9","15.0","36.4","23"
"Sullivan, Indiana","23.8","15.8","34.5","30"
"Coles, Illinois","23.8","18.4","30.3","71"
"Yankton, South Dakota","23.8","16.1","34.0","32"
"Washington, Louisiana","23.8","18.3","30.5","68"
"Cheatham, Tennessee","23.8","17.9","31.2","59"
"Noble, Oklahoma","23.7","14.2","38.1","19"
"Pike, Kentucky","23.7","18.8","29.5","87"
"Clinton, New York","23.7","19.6","28.6","119"
"Hughes, Oklahoma","23.7","14.4","37.1","21"
"Bowie, Texas","23.7","19.8","28.3","132"
"Jerome, Idaho","23.7","15.4","34.9","26"
"Athens, Ohio","23.7","18.4","30.1","73"
"Henderson, Tennessee","23.7","16.8","32.8","40"
"Randolph, North Carolina","23.7","20.6","27.3","215"
"Victoria, Texas","23.6","19.5","28.2","124"
"Alcorn, Mississippi","23.6","17.4","31.3","52"
"Nelson, Virginia","23.6","15.3","35.8","29"
"Scotts Bluff, Nebraska","23.6","17.1","31.9","47"
"Mason, West Virginia","23.6","16.9","32.2","45"
"St. Tammany, Louisiana","23.6","21.2","26.3","357"
"Wayne, Mississippi","23.6","15.5","34.7","29"
"Claiborne, Tennessee","23.6","17.0","32.0","48"
"Crawford, Arkansas","23.6","18.9","29.3","89"
"El Paso, Texas","23.6","22.0","25.1","931"
"Chester, Tennessee","23.6","14.7","36.0","23"
"Shoshone, Idaho","23.6","13.2","39.2","19"
"Wayne, New York","23.6","19.7","28.1","139"
"Dodge, Nebraska","23.6","17.6","31.1","55"
"Jefferson, Louisiana","23.5","21.6","25.5","618"
"Medina, Texas","23.5","18.0","30.3","64"
"Jefferson, Wisconsin","23.5","19.4","28.3","122"
"Cass, Nebraska","23.5","16.5","32.6","40"
"Northampton, Virginia","23.5","14.3","37.4","24"
"Hanover, Virginia","23.5","19.8","27.8","149"
"Panola, Mississippi","23.5","17.2","31.5","48"
"Caddo, Oklahoma","23.5","16.7","32.3","41"
"Carroll, Iowa","23.4","15.1","34.7","29"
"Clinton, Indiana","23.4","16.9","31.7","44"
"Spencer, Indiana","23.4","16.1","33.3","34"
"Wabash, Illinois","23.4","13.4","38.3","18"
"Jefferson, Oregon","23.4","15.7","33.8","32"
"Casey, Kentucky","23.4","14.3","36.3","22"
"Tipton, Tennessee","23.4","18.4","29.3","79"
"Henderson, Kentucky","23.4","17.9","30.0","67"
"Johnson, Illinois","23.4","13.7","37.8","19"
"Lancaster, Virginia","23.4","13.4","39.5","24"
"Hamilton, Iowa","23.3","15.1","34.9","27"
"Clark, Indiana","23.3","19.7","27.3","159"
"Warren, Mississippi","23.3","17.9","30.0","66"
"Rains, Texas","23.3","13.9","37.9","21"
"Magoffin, Kentucky","23.3","13.0","38.5","16"
"Fountain, Indiana","23.3","14.8","35.4","25"
"Roscommon, Michigan","23.3","16.8","32.3","54"
"East Feliciana, Louisiana","23.2","15.3","34.2","30"
"Parker, Texas","23.2","19.9","27.0","182"
"Drew, Arkansas","23.2","14.8","34.9","25"
"Knox, Kentucky","23.2","16.7","31.5","44"
"Jefferson, Georgia","23.1","14.4","35.4","23"
"Webster, Louisiana","23.1","17.5","30.1","61"
"Yalobusha, Mississippi","23.1","12.7","38.4","16"
"Chattooga, Georgia","23.1","15.9","32.6","35"
"Starke, Indiana","23.1","15.7","33.1","34"
"Rankin, Mississippi","23.1","19.9","26.7","198"
"Pottawattamie, Iowa","23.1","19.1","27.6","128"
"Wasco, Oregon","23.0","16.2","32.0","40"
"Starr, Texas","23.0","17.7","29.4","64"
"Decatur, Tennessee","23.0","14.0","36.6","22"
"Wood, Texas","23.0","17.5","29.9","75"
"Leflore, Mississippi","23.0","15.8","32.3","35"
"Franklin, Alabama","23.0","16.6","31.2","44"
"Clarendon, South Carolina","23.0","16.8","30.9","53"
"Ben Hill, Georgia","23.0","14.4","35.0","24"
"Livingston, Louisiana","23.0","19.5","26.9","167"
"Callaway, Missouri","23.0","17.2","30.0","57"
"Marion, Tennessee","23.0","16.3","31.8","42"
"Lafayette, Louisiana","22.9","20.2","25.9","278"
"Taylor, Texas","22.9","19.4","26.8","161"
"Buchanan, Missouri","22.9","18.8","27.6","116"
"Hardin, Kentucky","22.9","19.1","27.4","128"
"Daviess, Indiana","22.9","16.6","31.0","45"
"Tallapoosa, Alabama","22.9","17.4","29.7","66"
"Pike, Arkansas","22.9","13.0","38.0","17"
"Tangipahoa, Louisiana","22.9","19.4","26.9","158"
"Gregg, Texas","22.9","19.4","26.9","158"
"Perry, Pennsylvania","22.8","17.6","29.2","71"
"Montgomery, New York","22.8","17.5","29.2","69"
"Macon, Illinois","22.8","19.3","26.9","161"
"Fayette, Ohio","22.8","16.0","31.6","39"
"Pasquotank, North Carolina","22.8","16.9","30.1","53"
"Hopewell, Virginia","22.8","15.4","32.7","31"
"Henderson, Texas","22.8","18.8","27.5","129"
"Jackson, West Virginia","22.7","16.5","30.7","47"
"McLennan, Texas","22.7","20.1","25.6","285"
"Hancock, Mississippi","22.7","17.4","29.2","68"
"Logan, Oklahoma","22.7","17.2","29.5","61"
"Pulaski, Kentucky","22.7","18.2","28.1","93"
"Bacon, Georgia","22.7","12.8","37.9","16"
"Muskogee, Oklahoma","22.7","18.2","27.9","94"
"Nueces, Texas","22.7","20.6","25.0","435"
"Ouachita, Arkansas","22.6","15.7","31.7","38"
"Montague, Texas","22.6","15.1","33.0","31"
"Grayson, Kentucky","22.6","15.8","31.6","38"
"Jackson, Mississippi","22.6","19.4","26.3","181"
"Hopkins, Texas","22.6","16.5","30.2","49"
"Jackson, Ohio","22.6","16.1","30.8","43"
"Guadalupe, Texas","22.6","19.4","26.3","182"
"Gordon, Georgia","22.5","17.5","28.5","72"
"Saline, Illinois","22.5","16.1","31.1","41"
"Iroquois, Illinois","22.5","16.2","30.7","46"
"Pontotoc, Oklahoma","22.5","16.4","30.1","48"
"Laurens, South Carolina","22.5","18.0","27.7","96"
"Kenai Peninsula, Alaska","22.5","17.6","28.5","81"
"Floyd, Georgia","22.5","18.7","26.8","131"
"Las Animas, Colorado","22.5","14.4","34.4","26"
"Racine, Wisconsin","22.5","19.8","25.4","267"
"Bryan, Georgia","22.4","15.7","31.1","38"
"Brooks, Georgia","22.4","14.1","34.1","24"
"Jackson, Arkansas","22.4","14.3","33.8","25"
"Knox, Illinois","22.4","17.4","28.5","76"
"Uvalde, Texas","22.4","15.2","31.9","33"
"Milam, Texas","22.4","15.3","31.9","35"
"Rusk, Wisconsin","22.4","13.4","35.7","23"
"Columbia, Wisconsin","22.3","17.5","28.0","80"
"Walton, Georgia","22.3","18.4","26.9","115"
"Breckinridge, Kentucky","22.3","15.2","32.1","33"
"Juneau, Wisconsin","22.3","16.0","30.7","43"
"Lamar, Texas","22.3","17.3","28.4","72"
"Boone, West Virginia","22.3","15.0","32.1","33"
"Clinton, Illinois","22.3","16.6","29.4","54"
"Northampton, Pennsylvania","22.3","20.1","24.6","428"
"Lincoln, Kentucky","22.3","15.0","32.0","31"
"Fond du Lac, Wisconsin","22.3","18.7","26.4","145"
"Van Zandt, Texas","22.2","17.5","27.9","82"
"Randolph, West Virginia","22.2","16.1","30.1","46"
"Clark, Illinois","22.2","14.1","33.6","25"
"Shelby, Kentucky","22.2","16.8","28.8","61"
"DeKalb, Illinois","22.2","18.1","26.9","107"
"McCurtain, Oklahoma","22.2","16.1","30.0","46"
"Rogers, Oklahoma","22.2","18.3","26.7","119"
"Lavaca, Texas","22.2","14.4","32.9","30"
"Kanawha, West Virginia","22.2","19.6","25.1","281"
"La Salle, Illinois","22.2","18.7","26.2","155"
"Lawrence, Kentucky","22.2","13.3","35.0","21"
"Coryell, Texas","22.2","17.1","28.2","67"
"Hunt, Texas","22.2","18.3","26.6","121"
"DeSoto, Mississippi","22.1","19.0","25.5","194"
"Marshall, Mississippi","22.1","16.2","29.6","50"
"Jefferson, New York","22.1","18.4","26.4","126"
"Taylor, West Virginia","22.1","14.3","33.1","26"
"Orange, Indiana","22.1","14.7","32.3","30"
"Cooper, Missouri","22.1","14.1","33.3","25"
"Decatur, Indiana","22.1","15.0","31.4","33"
"Assumption, Louisiana","22.1","15.1","31.6","34"
"Llano, Texas","22.1","14.4","33.1","40"
"Screven, Georgia","22.1","13.2","35.1","20"
"Coahoma, Mississippi","22.1","14.8","31.9","30"
"Madison, Iowa","22.0","13.6","34.1","22"
"Tioga, Pennsylvania","22.0","16.6","28.6","63"
"Atoka, Oklahoma","22.0","13.0","35.3","19"
"Oldham, Kentucky","22.0","17.1","27.8","77"
"Sanders, Montana","22.0","12.4","37.2","22"
"Marion, Illinois","22.0","16.5","29.0","57"
"Tate, Mississippi","22.0","15.3","30.8","37"
"Pulaski, Indiana","22.0","12.8","35.8","18"
"Claiborne, Louisiana","22.0","13.7","33.8","23"
"Lamar, Alabama","22.0","12.7","35.7","19"
"Jefferson Davis, Mississippi","22.0","11.9","37.3","16"
"Fulton, Arkansas","22.0","12.7","36.3","20"
"Hamilton, Florida","22.0","13.1","34.9","20"
"Panola, Texas","22.0","14.5","32.0","30"
"Sequatchie, Tennessee","22.0","13.6","34.1","23"
"Fentress, Tennessee","21.9","13.9","33.2","26"
"New Kent, Virginia","21.9","14.5","32.1","31"
"Hardin, Iowa","21.9","14.4","32.5","29"
"Lubbock, Texas","21.9","19.5","24.6","309"
"Weakley, Tennessee","21.9","15.5","30.1","42"
"Crenshaw, Alabama","21.9","12.8","35.1","19"
"Orleans, New York","21.9","16.2","28.9","54"
"Jefferson, Illinois","21.9","16.1","29.4","49"
"Cherokee, Oklahoma","21.9","16.5","28.7","58"
"Polk, Georgia","21.9","16.4","28.9","54"
"St. Clair, Illinois","21.9","19.6","24.5","337"
"Jefferson, Pennsylvania","21.9","16.8","28.3","67"
"Oneida, Wisconsin","21.8","16.4","28.8","65"
"Scioto, Ohio","21.8","17.6","26.6","103"
"Cleburne, Arkansas","21.8","14.5","31.6","35"
"Boyd, Kentucky","21.8","16.7","27.9","67"
"Minnehaha, South Dakota","21.8","18.8","25.1","202"
"Schoharie, New York","21.8","16.0","29.4","50"
"Washington, Mississippi","21.8","16.4","28.4","60"
"Jasper, Iowa","21.8","15.8","29.3","47"
"Gladwin, Michigan","21.8","15.3","30.6","45"
"Oktibbeha, Mississippi","21.8","15.6","29.6","42"
"Ashland, Wisconsin","21.8","13.2","34.0","22"
"Carroll, Georgia","21.8","18.0","26.0","125"
"Calcasieu, Louisiana","21.8","19.1","24.8","247"
"Cleveland, North Carolina","21.8","18.2","26.0","140"
"Madison, Ohio","21.7","16.3","28.3","57"
"Peoria, Illinois","21.7","18.9","24.7","234"
"Hart, Kentucky","21.7","13.8","32.7","25"
"McNairy, Tennessee","21.7","15.3","30.1","40"
"Nelson, Kentucky","21.7","16.2","28.5","56"
"Livingston, Illinois","21.7","16.2","28.6","55"
"Shawano, Wisconsin","21.7","16.5","28.3","62"
"Mayes, Oklahoma","21.7","15.9","28.9","52"
"Johnson, Texas","21.6","18.6","24.9","194"
"Androscoggin, Maine","21.6","18.2","25.4","149"
"Arkansas, Arkansas","21.6","13.9","32.2","27"
"Bexar, Texas","21.6","20.6","22.6","1991"
"Preble, Ohio","21.6","16.1","28.6","55"
"Sebastian, Arkansas","21.6","18.2","25.3","156"
"Pickaway, Ohio","21.6","16.8","27.3","72"
"Rockingham, North Carolina","21.6","17.9","25.9","134"
"Walker, Alabama","21.6","17.3","26.7","93"
"Seneca, New York","21.6","15.3","29.6","42"
"Hertford, North Carolina","21.6","14.6","31.1","34"
"Mecklenburg, Virginia","21.6","15.4","29.6","48"
"Gibson, Tennessee","21.6","16.6","27.7","66"
"Tulsa, Oklahoma","21.6","20.1","23.3","740"
"Davidson, North Carolina","21.5","18.7","24.6","226"
"Bullitt, Kentucky","21.5","17.3","26.4","98"
"Garvin, Oklahoma","21.5","14.9","30.2","36"
"Whiteside, Illinois","21.5","17.0","26.9","85"
"Christian, Kentucky","21.5","16.7","27.4","69"
"Philadelphia, Pennsylvania","21.5","20.5","22.5","1741"
"Marion, Texas","21.5","12.1","36.5","19"
"Robertson, Tennessee","21.5","17.2","26.6","89"
"Union, Tennessee","21.5","13.2","33.0","23"
"Kalkaska, Michigan","21.5","13.9","32.4","27"
"Perquimans, North Carolina","21.5","12.4","35.2","21"
"Clark, Kentucky","21.5","15.6","28.9","47"
