county,binge_alcohol
"Peoria, Illinois",20.17142857142857
"Perry, Illinois",18.314285714285713
"Piatt, Illinois",20.24285714285714
"Pike, Illinois",18.728571428571428
"Pope, Illinois",16.157142857142855
"Pulaski, Illinois",14.228571428571428
"Putnam, Illinois",24.714285714285715
"Randolph, Illinois",20.385714285714283
"Richland, Illinois",18.228571428571428
"Rock Island, Illinois",20.828571428571426
"Saline, Illinois",15.285714285714286
"Sangamon, Illinois",20.971428571428568
"Schuyler, Illinois",18.914285714285715
"Scott, Illinois",19.771428571428572
"Shelby, Illinois",19.214285714285715
"St. Clair, Illinois",20.914285714285715
"Stark, Illinois",19.585714285714285
"Stephenson, Illinois",19.97142857142857
"Tazewell, Illinois",20.17142857142857
"Union, Illinois",16.1
"Vermilion, Illinois",17.457142857142856
"Wabash, Illinois",18.114285714285717
"Warren, Illinois",19.842857142857145
"Washington, Illinois",24.271428571428572
"Wayne, Illinois",14.771428571428572
"White, Illinois",16.485714285714288
"Whiteside, Illinois",21.542857142857144
"Will, Illinois",22.014285714285712
"Williamson, Illinois",17.485714285714288
"Winnebago, Illinois",20.61428571428571
"Woodford, Illinois",19.6
"Adams, Indiana",15.085714285714285
"Allen, Indiana",17.74285714285714
"Bartholomew, Indiana",16.72857142857143
"Benton, Indiana",20.17142857142857
"Blackford, Indiana",16.65714285714286
"Boone, Indiana",17.04285714285714
"Brown, Indiana",16.757142857142856
"Carroll, Indiana",18.214285714285715
"Cass, Indiana",17.685714285714287
"Clark, Indiana",16.957142857142856
"Clay, Indiana",16.15714285714286
"Clinton, Indiana",17.814285714285713
"Crawford, Indiana",15.671428571428573
"Daviess, Indiana",16.4
"Dearborn, Indiana",19.485714285714288
"Decatur, Indiana",19.25714285714286
"DeKalb, Indiana",18.27142857142857
"Delaware, Indiana",15.428571428571429
"Dubois, Indiana",24.11428571428571
"Elkhart, Indiana",14.985714285714284
"Fayette, Indiana",16.342857142857145
"Floyd, Indiana",17.557142857142857
"Fountain, Indiana",17.3
"Franklin, Indiana",19.042857142857144
"Fulton, Indiana",18.02857142857143
"Gibson, Indiana",19.071428571428573
"Grant, Indiana",15.557142857142859
"Greene, Indiana",16.7
"Hamilton, Indiana",17.78571428571429
"Hancock, Indiana",16.228571428571428
"Harrison, Indiana",17.385714285714283
"Hendricks, Indiana",16.785714285714285
"Henry, Indiana",15.214285714285714
"Howard, Indiana",16.471428571428575
"Huntington, Indiana",19.157142857142855
"Jackson, Indiana",15.457142857142857
"Jasper, Indiana",18.414285714285715
"Jay, Indiana",16.671428571428574
"Jefferson, Indiana",16.9
"Jennings, Indiana",16.385714285714286
"Johnson, Indiana",16.5
"Knox, Indiana",18.742857142857144
"Kosciusko, Indiana",16.485714285714284
"LaGrange, Indiana",13.628571428571428
"Lake, Indiana",17.82857142857143
"LaPorte, Indiana",19.671428571428574
"Lawrence, Indiana",15.557142857142859
"Madison, Indiana",15.885714285714286
"Marion, Indiana",16.95714285714286
"Marshall, Indiana",16.642857142857142
"Martin, Indiana",18.82857142857143
"Miami, Indiana",16.400000000000002
"Monroe, Indiana",17.599999999999998
"Montgomery, Indiana",17.914285714285715
"Morgan, Indiana",16.32857142857143
"Newton, Indiana",19.8
"Noble, Indiana",16.614285714285717
"Ohio, Indiana",17.157142857142855
"Orange, Indiana",15.700000000000001
"Owen, Indiana",16.82857142857143
"Parke, Indiana",16.414285714285715
"Perry, Indiana",20.642857142857142
"Pike, Indiana",16.528571428571432
"Porter, Indiana",19.14285714285714
"Posey, Indiana",20.428571428571423
"Pulaski, Indiana",17.24285714285714
"Putnam, Indiana",16.214285714285715
"Randolph, Indiana",15.700000000000001
"Ripley, Indiana",21.22857142857143
"Rush, Indiana",16.357142857142854
"Scott, Indiana",15.37142857142857
"Shelby, Indiana",18.24285714285714
"Spencer, Indiana",19.157142857142855
"St. Joseph, Indiana",20.057142857142853
"Starke, Indiana",19.414285714285718
"Steuben, Indiana",18.314285714285713
"Sullivan, Indiana",16.47142857142857
"Switzerland, Indiana",17.385714285714286
"Tippecanoe, Indiana",17.814285714285713
"Tipton, Indiana",16.75714285714286
"Union, Indiana",16.185714285714287
"Vanderburgh, Indiana",18.728571428571428
"Vermillion, Indiana",19.857142857142858
"Vigo, Indiana",17.457142857142856
"Wabash, Indiana",16.3
"Warren, Indiana",16.52857142857143
"Warrick, Indiana",18.0
"Washington, Indiana",15.257142857142858
"Wayne, Indiana",16.271428571428572
