county,any_alcohol
"Pulaski, Georgia",39.442857142857136
"Putnam, Georgia",45.81428571428571
"Quitman, Georgia",34.785714285714285
"Rabun, Georgia",48.34285714285714
"Randolph, Georgia",35.01428571428572
"Richmond, Georgia",48.65714285714285
"Rockdale, Georgia",48.142857142857146
"Schley, Georgia",41.028571428571425
"Screven, Georgia",40.75714285714285
"Seminole, Georgia",42.028571428571425
"Spalding, Georgia",41.628571428571426
"Stephens, Georgia",37.41428571428571
"Stewart, Georgia",32.75714285714286
"Sumter, Georgia",38.87142857142857
"Talbot, Georgia",37.214285714285715
"Taliaferro, Georgia",30.842857142857145
"Tattnall, Georgia",35.25714285714286
"Taylor, Georgia",32.84285714285714
"Telfair, Georgia",33.7
"Terrell, Georgia",35.48571428571428
"Thomas, Georgia",42.87142857142857
"Tift, Georgia",36.98571428571428
"Toombs, Georgia",34.42857142857143
"Towns, Georgia",43.55714285714286
"Treutlen, Georgia",33.471428571428575
"Troup, Georgia",44.471428571428575
"Turner, Georgia",31.38571428571429
"Twiggs, Georgia",30.985714285714288
"Union, Georgia",42.614285714285714
"Upson, Georgia",35.52857142857143
"Walker, Georgia",34.942857142857136
"Walton, Georgia",44.685714285714276
"Ware, Georgia",37.028571428571425
"Warren, Georgia",29.942857142857143
"Washington, Georgia",37.885714285714286
"Wayne, Georgia",34.34285714285714
"Webster, Georgia",34.34285714285714
"Wheeler, Georgia",29.657142857142862
"White, Georgia",48.857142857142854
"Whitfield, Georgia",36.7
"Wilcox, Georgia",28.042857142857144
"Wilkes, Georgia",40.557142857142864
"Wilkinson, Georgia",34.82857142857143
"Worth, Georgia",36.91428571428571
"Hawaii, Hawaii",55.58571428571428
"Honolulu, Hawaii",50.98571428571428
"Kalawao County, Maui, Hawaii",56.42857142857143
"Kauai, Hawaii",54.88571428571429
"Ada, Idaho",60.68571428571429
"Adams, Idaho",64.47142857142858
"Bannock, Idaho",39.41428571428572
"Bear Lake, Idaho",19.357142857142858
"Benewah, Idaho",61.88571428571428
"Bingham, Idaho",29.085714285714285
"Blaine, Idaho",68.98571428571428
"Boise, Idaho",60.15714285714285
"Bonner, Idaho",65.72857142857143
"Bonneville, Idaho",37.18571428571429
"Boundary, Idaho",59.58571428571429
"Butte, Idaho",32.285714285714285
"Camas, Idaho",58.300000000000004
"Canyon, Idaho",48.24285714285714
"Caribou, Idaho",26.142857142857146
"Cassia, Idaho",28.38571428571429
"Clark, Idaho",41.41428571428571
"Clearwater, Idaho",61.4
"Custer, Idaho",50.75714285714286
"Elmore, Idaho",55.24285714285714
"Franklin, Idaho",17.985714285714288
"Fremont, Idaho",26.285714285714285
"Gem, Idaho",52.42857142857143
"Gooding, Idaho",45.528571428571425
"Idaho, Idaho",60.800000000000004
"Jefferson, Idaho",23.414285714285718
"Jerome, Idaho",48.01428571428571
"Kootenai, Idaho",60.699999999999996
"Latah, Idaho",64.42857142857142
"Lemhi, Idaho",53.471428571428575
"Lewis, Idaho",52.48571428571429
"Lincoln, Idaho",46.7
"Madison, Idaho",10.885714285714286
"Minidoka, Idaho",36.81428571428571
"Nez Perce, Idaho",61.471428571428575
"Oneida, Idaho",20.414285714285715
"Owyhee, Idaho",47.785714285714285
"Payette, Idaho",51.07142857142857
"Power, Idaho",37.67142857142857
"Shoshone, Idaho",63.628571428571426
"Teton, Idaho",48.02857142857143
"Twin Falls, Idaho",49.91428571428571
"Valley, Idaho",67.27142857142857
"Washington, Idaho",52.371428571428574
"Adams, Illinois",57.44285714285714
"Alexander, Illinois",39.57142857142857
"Bond, Illinois",53.17142857142857
"Boone, Illinois",62.142857142857146
"Brown, Illinois",56.82857142857143
"Bureau, Illinois",57.114285714285714
"Calhoun, Illinois",63.885714285714286
"Carroll, Illinois",59.042857142857144
"Cass, Illinois",53.057142857142864
"Champaign, Illinois",60.62857142857143
"Christian, Illinois",53.371428571428574
"Clark, Illinois",46.142857142857146
"Clay, Illinois",46.642857142857146
"Clinton, Illinois",67.12857142857142
"Coles, Illinois",54.02857142857143
"Cook, Illinois",63.45714285714286
"Crawford, Illinois",47.74285714285715
"Cumberland, Illinois",48.0
"De Witt, Illinois",54.314285714285724
"DeKalb, Illinois",64.02857142857142
"Douglas, Illinois",50.614285714285714
"DuPage, Illinois",70.27142857142857
"Edgar, Illinois",48.800000000000004
"Edwards, Illinois",42.142857142857146
"Effingham, Illinois",58.68571428571429
"Fayette, Illinois",45.9
"Ford, Illinois",54.88571428571428
"Franklin, Illinois",46.771428571428565
"Fulton, Illinois",50.1
"Gallatin, Illinois",47.68571428571429
"Greene, Illinois",50.98571428571428
"Grundy, Illinois",60.42857142857143
"Hamilton, Illinois",47.199999999999996
"Hancock, Illinois",49.07142857142857
"Hardin, Illinois",43.94285714285714
"Henderson, Illinois",53.72857142857141
"Henry, Illinois",58.82857142857143
"Iroquois, Illinois",53.58571428571428
"Jackson, Illinois",51.371428571428574
"Jasper, Illinois",55.771428571428565
"Jefferson, Illinois",45.4
"Jersey, Illinois",60.028571428571425
"Jo Daviess, Illinois",70.81428571428572
"Johnson, Illinois",42.74285714285715
"Kane, Illinois",66.4857142857143
"Kankakee, Illinois",57.55714285714286
"Kendall, Illinois",65.82857142857142
"Knox, Illinois",55.142857142857146
"Lake, Illinois",67.88571428571429
"LaSalle, Illinois",62.042857142857144
"Lawrence, Illinois",43.78571428571428
"Lee, Illinois",60.92857142857142
"Livingston, Illinois",54.34285714285714
"Logan, Illinois",53.67142857142858
"Macon, Illinois",54.357142857142854
"Macoupin, Illinois",54.9
"Madison, Illinois",58.41428571428571
"Marion, Illinois",46.6
"Marshall, Illinois",57.48571428571428
"Mason, Illinois",51.08571428571428
"Massac, Illinois",43.72857142857142
"McDonough, Illinois",53.67142857142858
"McHenry, Illinois",69.68571428571428
"McLean, Illinois",59.31428571428571
"Menard, Illinois",55.300000000000004
"Mercer, Illinois",55.085714285714296
"Monroe, Illinois",63.699999999999996
"Montgomery, Illinois",49.08571428571429
"Morgan, Illinois",52.528571428571425
"Moultrie, Illinois",49.714285714285715
"Ogle, Illinois",60.12857142857143
"Peoria, Illinois",57.800000000000004
