,county,pH
653,"Graham, North Carolina",6.85969696969697
654,"Grand forks, North Dakota",7.209999999999999
655,"Granite, Montana",7.285
656,"Grant, Kansas",7.588461538461539
657,"Grant, Kentucky",7.335833333333334
658,"Grant, Louisiana",6.8276666666666666
659,"Grant, Minnesota",6.966666666666666
660,"Grant, New Mexico",9.6
661,"Grant, North Dakota",7.84
662,"Grant, Washington",7.593999999999999
663,"Grant, Wisconsin",7.356481481481479
664,"Granville, North Carolina",7.532413793103448
665,"Graves, Kentucky",7.019333333333334
666,"Gray, Kansas",7.509375000000001
667,"Gray, Texas",7.634848484848486
668,"Grays harbor, Washington",7.2799999999999985
669,"Grayson, Kentucky",7.493076923076924
670,"Grayson, Texas",8.394540540540541
671,"Grayson, Virginia",3.229528301886792
672,"Greeley, Kansas",7.566666666666666
673,"Green lake, Wisconsin",7.371000000000002
674,"Green, Kentucky",7.05
675,"Green, Wisconsin",7.608749999999999
676,"Greene, Alabama",8.196666666666667
677,"Greene, Illinois",7.3275
678,"Greene, Missouri",7.753055555555556
679,"Greene, New York",6.8
