,county,nitrite
486,"Contra costa, California",1.3732718894009217
487,"Converse, Wyoming",3.25
488,"Conway, Arkansas",0.0
489,"Cook, Illinois",5.669724770642202
490,"Cook, Minnesota",0.6153846153846154
491,"Cooke, Texas",1.935483870967742
492,"Cooper, Missouri",243.0
493,"Coos, New Hampshire",0.22448979591836735
494,"Coos, Oregon",0.0
495,"Coosa, Alabama",0.0
496,"Corson, South Dakota",13.333333333333334
497,"Cortland, New York",3.088709677419355
498,"Coryell, Texas",1.8181818181818181
499,"Coshocton, Ohio",0.3492063492063492
500,"Cottle, Texas",0.0
501,"Cottonwood county, Minnesota",173.91304347826087
502,"Cottonwood, Minnesota",0.0
503,"Covington, Alabama",43.61666666666667
504,"Cowlitz, Washington",0.0
505,"Craig, Oklahoma",0.0
506,"Craighead, Arkansas",0.0
507,"Crane, Texas",0.0
508,"Craven, North Carolina",0.0
509,"Crawford county, Pennsylvania",0.0
510,"Crawford, Arkansas",0.0
511,"Crawford, Illinois",0.0
512,"Crawford, Indiana",0.0
513,"Crawford, Iowa",0.0
514,"Crawford, Michigan",0.5828220858895705
515,"Crawford, Missouri",593.4313725490196
516,"Crawford, Ohio",0.48338368580060426
517,"Crawford, Pennsylvania",1.7734447539461466
518,"Crawford, Wisconsin",0.0
519,"Creek, Oklahoma",0.0
520,"Crenshaw, Alabama",0.18604651162790697
521,"Crittenden, Kentucky",0.0
522,"Crook, Oregon",0.975609756097561
523,"Crook, Wyoming",0.0
524,"Crosby, Texas",5.0
525,"Cross, Arkansas",0.0
526,"Crow wing, Minnesota",1.3605442176870748
527,"Culberson, Texas",0.0
528,"Cullman, Alabama",0.0
529,"Culpeper, Virginia",0.0
530,"Cumberland county, Pennsylvania",0.0
531,"Cumberland, Illinois",0.0
532,"Cumberland, Kentucky",0.0
533,"Cumberland, Maine",2.7212416311625076
534,"Cumberland, New Jersey",6.254716981132075
535,"Cumberland, North Carolina",11.174295774647888
536,"Cumberland, Pennsylvania",3.761904761904762
537,"Currituck, North Carolina",0.0
538,"Curry, New Mexico",38.292682926829265
539,"Curry, Oregon",4.615384615384615
540,"Custer, Idaho",132.8
541,"Custer, Oklahoma",0.0
542,"Custer, South Dakota",0.0
543,"Cuyahoga, Ohio",2.0679156908665104
544,"Dade, Florida",26.809090909090912
545,"Dade, Missouri",9.692307692307692
546,"Daggett, Utah",365.5263157894737
547,"Dakota, Minnesota",5.0
548,"Dale, Alabama",0.26744186046511625
549,"Dallas, Alabama",0.0
550,"Dallas, Iowa",21.52027027027027
551,"Dallas, Missouri",1416.938775510204
552,"Dallas, Texas",19.489795918367346
553,"Dane, Wisconsin",0.571917808219178
554,"Dare, North Carolina",0.6226415094339622
555,"Darke, Ohio",0.0
556,"Darlington, South Carolina",0.0
557,"Dauphin county, Pennsylvania",0.0
558,"Dauphin, Pennsylvania",4.897297297297297
559,"Davidson, Tennessee",3.5483870967741935
560,"Davie, North Carolina",0.0
561,"Daviess, Kentucky",0.55
562,"Daviess, Missouri",20.0
563,"Davis, South Dakota",0.0
564,"Davis, Utah",135.9290780141844
565,"Dawson, Texas",0.0
566,"Day, South Dakota",0.0
567,"De baca, New Mexico",0.0
568,"De kalb, Indiana",41.333333333333336
569,"De kalb, Missouri",5063.333333333333
570,"De soto, Florida",25.361702127659573
571,"De witt, Illinois",7.7555555555555555
572,"Deaf smith, Texas",0.0
573,"Decatur, Indiana",1.6666666666666667
574,"Deer lodge, Montana",0.0
575,"Defiance, Ohio",0.0
576,"Dekalb, Alabama",0.0
577,"Dekalb, Illinois",4.2633744855967075
578,"Dekalb, Indiana",14.882352941176471
579,"Dekalb, Missouri",140.0
580,"Del norte county, California",0.0
581,"Del norte, California",0.0
582,"Delaware, Indiana",9.857142857142858
583,"Delaware, Iowa",0.0
584,"Delaware, New York",3.076923076923077
585,"Delaware, Ohio",0.0
586,"Delaware, Oklahoma",39.10884615384616
587,"Delaware, Pennsylvania",1.314102564102564
588,"Delta, Michigan",0.0
589,"Delta, Texas",3.5
590,"Denali, Alaska",0.0
591,"Dent, Missouri",428.8333333333333
592,"Denton, Texas",12.003846153846155
593,"Deschutes, Oregon",6.725663716814159
594,"Desoto, Florida",1.5076923076923077
595,"Dewey, Oklahoma",0.0
596,"Dewey, South Dakota",0.0
597,"Dewitt, Texas",0.0
598,"Dickens, Texas",36.0
599,"Dickenson, Virginia",0.0
600,"Dickinson, Iowa",0.0
601,"Dickinson, Michigan",2.280701754385965
602,"Dickson, Tennessee",70.0
603,"Dillingham, Alaska",0.0
604,"Dillon, South Carolina",0.0
605,"Dimmit, Texas",0.0
606,"Dinwiddie, Virginia",0.0
607,"District of columbia, District of Columbia",0.625
608,"Dixie, Florida",4.462025316455696
609,"Doddridge, West Virginia",525.0
610,"Dodge, Minnesota",0.0
611,"Dodge, Wisconsin",1.6521739130434783
612,"Dona ana, New Mexico",31.904761904761905
613,"Donley, Texas",4.0
614,"Door, Wisconsin",6.87603305785124
615,"Dorchester, Maryland",0.0
616,"Dorchester, South Carolina",0.0
617,"Douglas, Illinois",1.0869565217391304
618,"Douglas, Minnesota",0.8928571428571429
619,"Douglas, Missouri",729.811320754717
620,"Douglas, Nevada",3.219409282700422
621,"Douglas, Oregon",9.014084507042254
622,"Douglas, South Dakota",23.333333333333332
623,"Douglas, Washington",0.9911894273127754
624,"Douglas, Wisconsin",0.0
625,"Du page, Illinois",0.0
626,"Dubois, Indiana",0.0
627,"Dubuque, Iowa",0.0
628,"Duchesne, Utah",61.55263157894737
629,"Dukes, Massachusetts",3.793103448275862
630,"Dunklin, Missouri",49.8780487804878
631,"Dunn, Wisconsin",2.2903225806451615
632,"Dupage, Illinois",2.4995083579154374
633,"Duplin, North Carolina",0.7416666666666667
634,"Durham, North Carolina",1.953125
635,"Dutchess, New York",6.073013656114215
636,"Duval county, Florida",0.0
637,"Duval, Florida",4.746153846153846
638,"Duval, Texas",0.0
639,"Dyer, Tennessee",0.0
640,"Eastland, Texas",0.0
641,"Eaton, Michigan",0.23076923076923078
642,"Eau claire, Wisconsin",4.5675675675675675
643,"Ector, Texas",5.491803278688525
644,"Eddy, New Mexico",0.6666666666666666
645,"Edgar, Illinois",24.84426229508197
646,"Edgecombe, North Carolina",100.0
647,"Edmonson, Kentucky",8.0
648,"Edwards, Illinois",106.23529411764706
649,"Edwards, Texas",0.0
650,"Effingham, Illinois",13.462962962962964
651,"El dorado, California",1.2943530751708427
652,"El paso, Texas",0.0
653,"Elk, Pennsylvania",0.0
654,"Elkhart, Indiana",2.1359223300970873
655,"Elko, Nevada",5.0727969348659006
656,"Elliott, Kentucky",0.0
657,"Ellis, Oklahoma",0.0
658,"Ellis, Texas",3.8461538461538463
659,"Elmore, Alabama",3.4782608695652173
660,"Elmore, Idaho",1.1904761904761905
661,"Emery, Utah",69.6875
662,"Emmet, Iowa",0.0
663,"Emmet, Michigan",0.0
664,"Erath, Texas",1.1111111111111112
665,"Erie county, Pennsylvania",0.0
666,"Erie, New York",11.85
667,"Erie, Ohio",0.0
668,"Erie, Pennsylvania",1.5184381778741864
669,"Escambia, Alabama",3.8059701492537314
670,"Escambia, Florida",1.3278350515463917
671,"Esmeralda, Nevada",0.0
672,"Essex, Massachusetts",5.506437768240343
673,"Essex, New Jersey",88.88888888888889
674,"Essex, New York",9.090909090909092
675,"Essex, Vermont",0.0
676,"Essex, Virginia",0.0
677,"Estill, Kentucky",0.0
678,"Etowah, Alabama",0.05714285714285714
679,"Eureka county, Nevada",0.0
