,county,uranium_combined
349,"Darlington, South Carolina",1.6363636363636365
350,"Dauphin county, Pennsylvania",0.0
351,"Dauphin, Pennsylvania",4.637625
352,"Davidson, North Carolina",0.0
353,"Davie, North Carolina",0.0
354,"Davis, Utah",16.408333333333335
355,"Dawes, Nebraska",17.194599999999998
356,"Dawson, Montana",0.0
357,"Dawson, Nebraska",31.922341463414636
358,"Dawson, Texas",32.35492857142858
359,"De baca, New Mexico",5.864915
360,"De kalb, Indiana",0.0
361,"De soto, Florida",0.23027272727272727
362,"De soto, Louisiana",0.060816326530612246
363,"Deaf smith, Texas",19.53522222222222
364,"Dearborn, Indiana",3.0
365,"Decatur, Kansas",44.853658536585364
366,"Dekalb, Illinois",0.30610187499999997
367,"Del norte county, California",0.0
368,"Delaware, Indiana",0.0
369,"Delaware, New York",0.0
370,"Delaware, Oklahoma",0.019107058823529414
371,"Delaware, Pennsylvania",0.294275
372,"Deschutes, Oregon",0.4453125
373,"Desoto, Florida",0.07024285714285715
374,"Deuel, Nebraska",17.88
375,"Dewey, Oklahoma",0.9640000000000001
376,"Dewey, South Dakota",0.0
377,"Dewitt, Texas",0.0
378,"Dickens, Texas",8.3
379,"Dickey, North Dakota",1.067256
380,"Dillingham, Alaska",0.0
381,"Dillon, South Carolina",0.0
382,"Dinwiddie, Virginia",16.965682539682543
383,"District of columbia, District of Columbia",0.0
384,"Divide, North Dakota",0.007
385,"Dixie, Florida",0.0
386,"Dixon, Nebraska",20.575545454545452
387,"Dodge, Minnesota",0.0
388,"Dodge, Wisconsin",1.28185
389,"Dona ana, New Mexico",22.788169221311474
390,"Door, Wisconsin",1.4
391,"Dorchester, South Carolina",0.0
392,"Douglas, Kansas",0.4625
393,"Douglas, Nebraska",9.784333333333334
394,"Douglas, Nevada",7.139135021097042
395,"Douglas, Oregon",0.3235294117647059
396,"Douglas, Washington",11.7
397,"Douglas, Wisconsin",0.85
398,"Dubois, Indiana",0.0
399,"Dubuque, Iowa",1.0877
400,"Dundy, Nebraska",53.892153846153846
401,"Dunn, North Dakota",2.1566666666666667
402,"Dunn, Wisconsin",0.1495
403,"Dupage, Illinois",0.4831239285714285
404,"Duplin, North Carolina",0.0934406779661017
