,county,combinded_radium
540,"Fairfield, Connecticut",2.54082258064516
541,"Fairfield, South Carolina",0.45925925925925926
542,"Fall river, South Dakota",0.0
543,"Fallon, Montana",0.6
544,"Falls, Texas",5.0
545,"Fannin, Texas",2.35
546,"Faulk, South Dakota",0.0
547,"Fauquier, Virginia",3.7699999999999996
548,"Fayette, Illinois",0.9650000000000002
549,"Fayette, Indiana",0.69
550,"Fayette, Iowa",3.0539393939393937
551,"Fayette, Kentucky",0.5615714285714285
552,"Fayette, Ohio",2.0
553,"Fayette, Texas",2.772727272727273
554,"Fayette, West Virginia",0.26266666666666666
555,"Fergus, Montana",1.0099999999999998
556,"Ferry, Washington",0.6
557,"Fillmore, Nebraska",0.8437500000000001
558,"Finney, Kansas",1.7078651685393262
559,"Fisher, Texas",0.4
560,"Flathead, Montana",0.5
561,"Florence, South Carolina",0.5653846153846154
562,"Florence, Wisconsin",0.35950000000000004
563,"Floyd, Iowa",1.8814285714285715
564,"Floyd, Kentucky",0.7
565,"Floyd, Texas",0.236
566,"Floyd, Virginia",4.199999999999999
567,"Fluvanna, Virginia",1.1733333333333333
568,"Fond du lac, Wisconsin",2.7720000000000002
569,"Ford, Illinois",1.4126086956521737
570,"Ford, Kansas",0.25
571,"Forest, Wisconsin",0.5604285714285714
572,"Forsyth, North Carolina",0.41818181818181815
573,"Fort bend, Texas",1.9684033613445377
574,"Foster, North Dakota",0.59
575,"Franklin, Idaho",0.58
576,"Franklin, Illinois",1.36
577,"Franklin, Iowa",2.4777777777777774
578,"Franklin, Kansas",0.39
579,"Franklin, Missouri",0.6159420289855073
580,"Franklin, Nebraska",0.6
581,"Franklin, New York",0.46748
582,"Franklin, North Carolina",0.40602272727272726
583,"Franklin, Ohio",0.0
584,"Franklin, Vermont",0.533
585,"Franklin, Virginia",2.4356521739130432
586,"Franklin, Washington",0.6981818181818181
587,"Frederick, Maryland",2.5064285714285717
588,"Frederick, Virginia",0.4960000000000001
589,"Freestone, Texas",1.7833333333333332
590,"Fremont, Idaho",1.88
591,"Fremont, Iowa",0.4
592,"Fremont, Wyoming",1.649166666666667
593,"Fresno, California",0.6302061855670104
594,"Frio, Texas",3.5875
595,"Frontier, Nebraska",0.2777777777777778
596,"Fulton, Illinois",4.037179487179487
597,"Fulton, Indiana",0.78
598,"Fulton, New York",0.22769230769230772
599,"Fulton, Ohio",2.0
600,"Furnas, Nebraska",0.0
601,"Gage, Nebraska",2.816666666666667
602,"Gaines, Texas",0.25999999999999995
603,"Gallatin, Illinois",1.0474999999999999
604,"Gallatin, Kentucky",1.233
605,"Gallatin, Montana",0.134375
606,"Galveston, Texas",1.0909090909090908
607,"Garfield, Montana",0.0
608,"Garfield, Nebraska",0.9
609,"Garfield, Oklahoma",0.30245454545454553
610,"Garfield, Utah",1.6883333333333335
611,"Garrard, Kentucky",1.12
612,"Garrett, Maryland",0.42000000000000004
613,"Garvin, Oklahoma",0.5360909090909091
614,"Garza, Texas",3.3333333333333335
615,"Gasconade, Missouri",0.9818181818181817
616,"Gaston, North Carolina",0.7125991189427316
617,"Geary, Kansas",0.4636363636363636
618,"Geauga, Ohio",1.02
