,county,heptachlor_epoxide
345,"Cavalier, North Dakota",0.0
346,"Cayuga county, New York",0.0
347,"Cayuga, New York",0.0
348,"Cecil, Maryland",0.0
349,"Cedar, Missouri",0.0
350,"Cedar, Nebraska",0.0
351,"Centre county, Pennsylvania",0.0
352,"Centre, Pennsylvania",0.0025974025974025974
353,"Chambers, Alabama",0.0
354,"Chambers, Texas",0.0
355,"Champaign, Illinois",0.0
356,"Chariton, Missouri",0.0
357,"Charles mix, South Dakota",0.0
358,"Charles, Maryland",0.0
359,"Charleston county, South Carolina",0.0
360,"Charleston, South Carolina",0.0
361,"Charlevoix, Michigan",0.0
362,"Charlotte, Florida",0.0
363,"Charlotte, Virginia",0.0
364,"Chase, Nebraska",0.0029375
365,"Chatham, North Carolina",0.0020666666666666667
366,"Chautauqua, Kansas",0.0
367,"Chautauqua, New York",0.0
368,"Chaves, New Mexico",0.0
369,"Cheboygan, Michigan",0.0
370,"Chelan, Washington",0.0
371,"Chemung, New York",0.0
372,"Chenango, New York",0.0
373,"Cherokee, Alabama",0.0
374,"Cherokee, Kansas",0.0
375,"Cherokee, North Carolina",0.0
376,"Cherokee, South Carolina",0.0
377,"Cherokee, Texas",0.0
378,"Cherry, Nebraska",0.0
379,"Chesapeake city, Virginia",0.0
380,"Cheshire, New Hampshire",0.0
381,"Chester county, Pennsylvania",0.0
382,"Chester, Pennsylvania",0.0
383,"Chester, South Carolina",0.0
384,"Chesterfield, South Carolina",0.0
385,"Chesterfield, Virginia",0.0
386,"Cheyenne, Nebraska",0.0
387,"Chicot, Arkansas",0.0
388,"Chilton, Alabama",0.0
389,"Chippewa, Michigan",0.0
390,"Chippewa, Minnesota",0.0
391,"Chippewa, Wisconsin",0.0
392,"Chisago, Minnesota",0.0
393,"Chittenden, Vermont",0.0
394,"Choctaw, Alabama",0.0
395,"Chouteau, Montana",0.0
396,"Chowan, North Carolina",0.0
397,"Christian, Illinois",0.0
398,"Christian, Kentucky",0.0
399,"Christian, Missouri",0.0
400,"Churchill, Nevada",0.0
401,"Cibola, New Mexico",0.0
402,"Citrus county, Florida",0.0
403,"Citrus, Florida",0.0008148148148148148
404,"Clackamas, Oregon",0.0
405,"Claiborne, Louisiana",0.0
406,"Clallam, Washington",0.0
407,"Clare, Michigan",0.0
408,"Clarendon, South Carolina",0.0
409,"Clarion, Pennsylvania",0.0
410,"Clark county, Nevada",0.0
411,"Clark, Arkansas",0.0
412,"Clark, Illinois",0.00175
413,"Clark, Indiana",0.0
414,"Clark, Kentucky",0.0
415,"Clark, Missouri",0.0
416,"Clark, Nevada",0.0
417,"Clark, South Dakota",0.0
418,"Clark, Washington",0.0
419,"Clark, Wisconsin",0.0
420,"Clarke, Alabama",0.0
421,"Clarke, Virginia",0.0
422,"Clatsop, Oregon",0.0
423,"Clay, Alabama",0.0
424,"Clay, Arkansas",0.0
425,"Clay, Florida",0.0
426,"Clay, Illinois",0.0
427,"Clay, Indiana",0.0
428,"Clay, Kentucky",0.0
429,"Clay, Minnesota",0.0
430,"Clay, Missouri",0.0
431,"Clay, Nebraska",0.0
432,"Clay, North Carolina",0.0
433,"Clay, South Dakota",0.0
434,"Clay, Texas",0.0
435,"Clay, West Virginia",0.0
436,"Clearfield county, Pennsylvania",0.0
437,"Clearfield, Pennsylvania",0.0
438,"Clearwater, Idaho",0.0
439,"Clearwater, Minnesota",0.0
440,"Cleburne, Alabama",0.06666666666666667
441,"Cleburne, Arkansas",0.0
442,"Cleveland, Arkansas",0.0
443,"Cleveland, North Carolina",0.0
444,"Clinton, Illinois",0.0
445,"Clinton, Indiana",0.0
446,"Clinton, Iowa",0.0
447,"Clinton, Kentucky",0.0
448,"Clinton, Michigan",0.0
449,"Clinton, Missouri",0.0
450,"Clinton, New York",0.0
451,"Clinton, Pennsylvania",0.0
452,"Cochise, Arizona",0.0
453,"Cochran, Texas",0.0
454,"Coconino, Arizona",0.00016949152542372882
455,"Codington, South Dakota",0.0
456,"Coffee, Alabama",0.0
457,"Coffey, Kansas",0.0
458,"Coke, Texas",0.0
459,"Colbert, Alabama",0.0
460,"Cole, Missouri",0.0
461,"Coleman, Texas",0.0
462,"Coles, Illinois",0.0008787878787878789
463,"Colfax, Nebraska",0.0
464,"Colfax, New Mexico",0.0
465,"Colleton, South Carolina",0.0
466,"Collier, Florida",0.0
467,"Collin, Texas",0.001276595744680851
468,"Collingsworth, Texas",0.0
469,"Colorado, Texas",0.0
470,"Columbia, Arkansas",0.0
471,"Columbia, Florida",0.0
472,"Columbia, New York",0.0
473,"Columbia, Oregon",0.0
474,"Columbia, Pennsylvania",0.0
475,"Columbia, Washington",0.0
476,"Columbia, Wisconsin",0.0
477,"Columbus county, North Carolina",0.0
478,"Columbus, North Carolina",0.0
479,"Colusa, California",0.0
480,"Comal, Texas",0.0
481,"Comanche, Texas",0.0
482,"Concho, Texas",0.0
483,"Concordia, Louisiana",0.0
484,"Conecuh, Alabama",0.0
485,"Contra costa, California",6.467661691542288e-05
486,"Converse, Wyoming",0.0
487,"Conway, Arkansas",0.0
488,"Cook, Illinois",0.0
489,"Cook, Minnesota",0.0
490,"Cooke, Texas",0.0
491,"Cooper, Missouri",0.0
492,"Coos, New Hampshire",0.0
493,"Coos, Oregon",0.0
494,"Coosa, Alabama",0.0
495,"Corson, South Dakota",0.0
496,"Cortland, New York",0.0
497,"Coryell, Texas",0.0
498,"Cottle, Texas",0.0
499,"Cottonwood, Minnesota",0.0
500,"Covington, Alabama",0.0
501,"Covington, Virginia",0.0
502,"Cowley, Kansas",0.0
503,"Cowlitz, Washington",0.0
504,"Craighead, Arkansas",0.0
505,"Crane, Texas",0.0
506,"Craven, North Carolina",0.0
507,"Crawford county, Pennsylvania",0.0
508,"Crawford, Arkansas",0.0
509,"Crawford, Illinois",0.0
510,"Crawford, Indiana",0.0
511,"Crawford, Kansas",0.0
512,"Crawford, Michigan",0.0
513,"Crawford, Missouri",0.0
514,"Crawford, Pennsylvania",0.0
515,"Crawford, Wisconsin",0.0
516,"Crenshaw, Alabama",0.0
517,"Crittenden, Arkansas",0.0
518,"Crittenden, Kentucky",0.0
519,"Crockett, Texas",0.0
520,"Crook, Oregon",0.0
521,"Crook, Wyoming",0.0
522,"Crosby, Texas",0.0
523,"Cross, Arkansas",0.0
524,"Crow wing, Minnesota",0.0
525,"Culberson, Texas",0.0
526,"Cullman, Alabama",0.0
527,"Culpeper, Virginia",0.0
528,"Cumberland county, Pennsylvania",0.0
529,"Cumberland, Illinois",0.0
530,"Cumberland, Kentucky",0.0
531,"Cumberland, Maine",0.0
532,"Cumberland, New Jersey",0.0
533,"Cumberland, North Carolina",0.004146686746987952
534,"Cumberland, Pennsylvania",0.0
535,"Cumberland, Virginia",0.0
536,"Cuming, Nebraska",0.0
537,"Currituck, North Carolina",0.0
538,"Curry, New Mexico",0.0
539,"Curry, Oregon",0.0
540,"Custer, Idaho",0.0
541,"Custer, Montana",0.0
542,"Custer, Nebraska",0.020319148936170213
543,"Custer, South Dakota",0.0
544,"Dade, Florida",0.0
545,"Dade, Missouri",0.0
546,"Daggett, Utah",0.0
547,"Dakota, Minnesota",0.0
548,"Dakota, Nebraska",0.0
549,"Dale, Alabama",0.0
550,"Dallam, Texas",0.0
551,"Dallas, Alabama",0.0
552,"Dallas, Arkansas",0.0
553,"Dallas, Missouri",0.0
554,"Dallas, Texas",0.0
555,"Dane, Wisconsin",0.0
556,"Daniels, Montana",0.0
557,"Danville, Virginia",0.0
558,"Dare, North Carolina",0.0
559,"Darlington, South Carolina",0.0
560,"Dauphin county, Pennsylvania",0.0
561,"Dauphin, Pennsylvania",0.0
562,"Davidson, North Carolina",0.0
563,"Davie, North Carolina",0.0
564,"Daviess, Indiana",0.0
565,"Daviess, Kentucky",0.0
566,"Daviess, Missouri",0.0
567,"Davis, Utah",0.0
568,"Dawes, Nebraska",0.0
569,"Dawson, Montana",0.0
570,"Dawson, Nebraska",0.0001939655172413793
571,"Dawson, Texas",0.0
572,"Day, South Dakota",0.0
573,"De baca, New Mexico",0.0
574,"De kalb, Indiana",0.0
575,"De kalb, Missouri",0.0
576,"De soto, Florida",0.0
577,"De soto, Louisiana",0.0
578,"De witt, Illinois",0.0
579,"Deaf smith, Texas",0.0
580,"Dearborn, Indiana",0.0
581,"Decatur, Indiana",0.0
582,"Deer lodge, Montana",0.0
583,"Defiance, Ohio",0.0
584,"Dekalb, Alabama",0.0
585,"Dekalb, Illinois",0.0
586,"Dekalb, Indiana",0.0
587,"Dekalb, Missouri",0.0
588,"Delaware, Indiana",0.0
589,"Delaware, New York",0.0
590,"Delaware, Pennsylvania",0.0
591,"Delta, Michigan",0.0
592,"Delta, Texas",0.0
593,"Dent, Missouri",0.0
594,"Denton, Texas",0.0
595,"Deschutes, Oregon",0.0
596,"Desha, Arkansas",0.0
597,"Desoto, Florida",0.0
598,"Deuel, Nebraska",0.0
599,"Dewey, South Dakota",0.0
600,"Dewitt, Texas",0.0
601,"Dickens, Texas",0.0
602,"Dickey, North Dakota",0.0
603,"Dickinson, Iowa",0.0
604,"Dickinson, Kansas",0.0
605,"Dickinson, Michigan",0.0
606,"Dillon, South Carolina",0.0
607,"Dimmit, Texas",0.0
608,"Dinwiddie, Virginia",0.0
609,"District of columbia, District of Columbia",0.0
610,"Dixie, Florida",0.0
611,"Dixon, Nebraska",0.0
612,"Doddridge, West Virginia",0.0
613,"Dodge, Minnesota",0.0
614,"Dodge, Nebraska",0.0
615,"Dodge, Wisconsin",0.0
616,"Dona ana, New Mexico",0.007126436781609196
617,"Donley, Texas",0.0
618,"Door, Wisconsin",0.0
619,"Dorchester, Maryland",0.0
620,"Dorchester, South Carolina",0.0
621,"Douglas, Illinois",0.0
622,"Douglas, Kansas",0.0
623,"Douglas, Minnesota",0.0
624,"Douglas, Missouri",0.0
625,"Douglas, Nebraska",0.0006786885245901639
626,"Douglas, Nevada",0.0
627,"Douglas, Oregon",0.0
628,"Douglas, Washington",0.0
629,"Douglas, Wisconsin",0.0
630,"Drew, Arkansas",0.0
631,"Du page, Illinois",0.0
632,"Dubois, Indiana",0.0
633,"Duchesne, Utah",0.0
634,"Dukes, Massachusetts",0.0
635,"Dundy, Nebraska",0.0
636,"Dunklin, Missouri",0.0
637,"Dunn, North Dakota",0.0
638,"Dunn, Wisconsin",0.0
639,"Dupage, Illinois",0.00012668463611859837
640,"Duplin, North Carolina",0.0
641,"Durham, North Carolina",0.0
642,"Dutchess, New York",0.0
643,"Duval county, Florida",0.0
644,"Duval, Florida",0.0
645,"Duval, Texas",0.0
646,"East baton rouge parish, Louisiana",0.0
647,"East baton rouge, Louisiana",0.0
648,"East carroll, Louisiana",0.0
649,"East feliciana, Louisiana",0.0
650,"Eastland, Texas",0.0
