,county,endrin
579,"De kalb, Indiana",0.0
580,"De kalb, Missouri",0.0
581,"De soto, Florida",0.0
582,"De soto, Louisiana",0.0
583,"De witt, Illinois",0.0029787234042553193
584,"Deaf smith, Texas",0.0
585,"Dearborn, Indiana",0.0
586,"Decatur, Indiana",0.0
587,"Deer lodge, Montana",0.0
588,"Defiance, Ohio",0.0
589,"Dekalb, Alabama",0.0
590,"Dekalb, Illinois",0.0
591,"Dekalb, Indiana",0.0
592,"Dekalb, Missouri",0.0
593,"Delaware, Indiana",0.0
594,"Delaware, New York",0.0
595,"Delaware, Pennsylvania",0.0
596,"Delta, Michigan",0.0
597,"Delta, Texas",0.0
598,"Dent, Missouri",0.0
599,"Denton, Texas",0.0
600,"Deschutes, Oregon",0.0
601,"Desha, Arkansas",0.0
602,"Desoto, Florida",0.0
603,"Deuel, Nebraska",0.0
604,"Dewey, South Dakota",0.0
605,"Dewitt, Texas",0.0
606,"Dickens, Texas",0.0
607,"Dickey, North Dakota",0.0
608,"Dickinson, Iowa",0.0
609,"Dickinson, Kansas",0.0
610,"Dickinson, Michigan",0.0
611,"Dillon, South Carolina",0.0
612,"Dimmit, Texas",0.0
613,"Dinwiddie, Virginia",0.0
614,"District of columbia, District of Columbia",0.0
615,"Dixie, Florida",0.0
616,"Dixon, Nebraska",0.0
617,"Doddridge, West Virginia",0.0
618,"Dodge, Minnesota",0.0
619,"Dodge, Nebraska",0.0
620,"Dodge, Wisconsin",0.0
621,"Dona ana, New Mexico",0.007816091954022988
622,"Donley, Texas",0.0
623,"Door, Wisconsin",0.0
624,"Dorchester, Maryland",0.0
625,"Dorchester, South Carolina",0.0
626,"Douglas, Illinois",0.0
627,"Douglas, Kansas",0.0
628,"Douglas, Minnesota",0.0
629,"Douglas, Missouri",0.0
630,"Douglas, Nebraska",0.0
631,"Douglas, Nevada",0.0
632,"Douglas, Oregon",0.0
633,"Douglas, Washington",0.0
634,"Douglas, Wisconsin",0.0
635,"Drew, Arkansas",0.0
636,"Du page, Illinois",0.0
637,"Dubois, Indiana",0.0
638,"Duchesne, Utah",0.0
639,"Dukes, Massachusetts",0.0
640,"Dundy, Nebraska",0.0
641,"Dunklin, Missouri",0.0
642,"Dunn, North Dakota",0.0
643,"Dunn, Wisconsin",0.0
644,"Dupage, Illinois",0.0
645,"Duplin, North Carolina",0.0
646,"Durham, North Carolina",0.0
647,"Dutchess, New York",0.0
648,"Duval county, Florida",0.0
649,"Duval, Florida",0.0
650,"Duval, Texas",0.0
651,"East baton rouge parish, Louisiana",0.0
652,"East baton rouge, Louisiana",0.0
653,"East carroll, Louisiana",0.0
654,"East feliciana, Louisiana",0.0
655,"Eastland, Texas",0.0
656,"Eaton, Michigan",0.0
657,"Eau claire, Wisconsin",0.0
658,"Ector, Texas",0.0
659,"Eddy, New Mexico",0.0
660,"Eddy, North Dakota",0.0
661,"Edgar, Illinois",0.0
662,"Edgecombe, North Carolina",0.0
663,"Edmonson, Kentucky",0.0
664,"Edwards, Illinois",0.0
665,"Edwards, Texas",0.0
666,"Effingham, Illinois",0.0
667,"El dorado, California",0.0
668,"El paso, Texas",0.0
669,"Elk, Kansas",0.0
670,"Elk, Pennsylvania",0.0
671,"Elkhart, Indiana",6.84931506849315e-05
672,"Elko, Nevada",0.0
673,"Elliott, Kentucky",0.0
674,"Ellis, Texas",0.0
675,"Ellsworth, Kansas",0.0
676,"Elmore, Alabama",0.0
677,"Elmore, Idaho",0.0
678,"Emery, Utah",0.0
679,"Emmet, Michigan",0.0
680,"Emmons, North Dakota",0.0
681,"Erath, Texas",0.0
682,"Erie county, Pennsylvania",0.0
683,"Erie, New York",0.0
684,"Erie, Pennsylvania",0.0
685,"Escambia, Alabama",0.0
686,"Escambia, Florida",0.0
687,"Esmeralda, Nevada",0.0
688,"Essex county, New York",0.0
689,"Essex, Massachusetts",0.0
690,"Essex, New Jersey",0.0
691,"Essex, New York",0.0
692,"Essex, Vermont",0.0
693,"Estill, Kentucky",0.0
694,"Etowah, Alabama",0.0
695,"Eureka county, Nevada",0.0
696,"Eureka, Nevada",0.0
697,"Evangeline parish, Louisiana",0.0
698,"Evangeline, Louisiana",0.0
699,"Fairbanks north star, Alaska",0.0
700,"Fairfax, Virginia",0.0
701,"Fairfield, Connecticut",0.0
702,"Fairfield, South Carolina",0.0
703,"Fall river, South Dakota",0.0
704,"Fallon, Montana",0.0
705,"Falls, Texas",0.0
706,"Fannin, Texas",0.0
707,"Faulk, South Dakota",0.0
708,"Fauquier, Virginia",0.0
709,"Fayette, Alabama",0.0
710,"Fayette, Illinois",0.0
711,"Fayette, Indiana",0.0
712,"Fayette, Kentucky",0.0
713,"Fayette, Pennsylvania",0.0
714,"Fayette, Texas",0.0
715,"Fayette, West Virginia",0.0
716,"Fergus, Montana",0.0
717,"Ferry, Washington",0.0
718,"Fillmore, Minnesota",0.0
719,"Fillmore, Nebraska",0.0
720,"Finney, Kansas",0.0
721,"Fisher, Texas",0.0
722,"Flagler, Florida",0.0
723,"Flathead, Montana",0.0
724,"Fleming, Kentucky",0.0
725,"Florence, South Carolina",0.0
726,"Florence, Wisconsin",0.0
727,"Floyd, Indiana",0.0
728,"Floyd, Kentucky",0.0
729,"Floyd, Texas",0.0
730,"Fluvanna, Virginia",0.0
731,"Foard, Texas",0.0
732,"Fond du lac, Wisconsin",0.0
733,"Ford, Illinois",0.0
734,"Forest, Pennsylvania",0.0
735,"Forest, Wisconsin",0.0
736,"Forsyth, North Carolina",0.0
737,"Fort bend county, Texas",0.0
738,"Fort bend, Texas",0.0
739,"Foster, North Dakota",0.0
740,"Fountain, Indiana",0.0
741,"Franklin county, Missouri",0.0
742,"Franklin county, New York",0.0
743,"Franklin county, Pennsylvania",0.0
744,"Franklin, Alabama",0.0
745,"Franklin, Arkansas",0.0
746,"Franklin, Florida",0.0
747,"Franklin, Idaho",0.0
748,"Franklin, Illinois",0.0
749,"Franklin, Indiana",0.0
