,county,methoxychlor
733,"Fayette, Texas",0.0
734,"Fayette, West Virginia",0.0
735,"Fergus, Montana",0.0
736,"Ferry, Washington",0.0
737,"Fillmore, Minnesota",0.0
738,"Fillmore, Nebraska",0.0
739,"Finney, Kansas",0.0
740,"Fisher, Texas",0.0
741,"Flagler, Florida",0.0
742,"Flathead, Montana",0.0
743,"Fleming, Kentucky",0.0
744,"Florence, South Carolina",0.0
745,"Florence, Wisconsin",0.0
746,"Floyd, Indiana",0.0
747,"Floyd, Kentucky",0.0
748,"Floyd, Texas",0.0
749,"Fluvanna, Virginia",0.0
750,"Foard, Texas",0.0
