,county,selenium
564,"Comanche, Oklahoma",0.0
565,"Comanche, Texas",4.066666666666666
566,"Concho, Texas",6.683333333333334
567,"Concordia, Louisiana",0.0
568,"Conecuh, Alabama",0.0
569,"Contra costa, California",1.0438805970149254
570,"Converse, Wyoming",2.675675675675676
571,"Conway, Arkansas",0.0
572,"Cook, Illinois",0.30874396135265697
573,"Cook, Minnesota",0.43062500000000004
574,"Cooke, Texas",0.56516
575,"Cooper, Missouri",0.0
576,"Coos, New Hampshire",0.006896551724137931
577,"Coos, Oregon",0.02771428571428572
578,"Coosa, Alabama",0.0
579,"Corson, South Dakota",0.38
580,"Cortland, New York",0.0
581,"Coryell, Texas",4.407692307692307
582,"Coshocton, Ohio",0.5384615384615384
583,"Cottle, Texas",10.4
584,"Cotton, Oklahoma",0.0
585,"Cottonwood county, Minnesota",0.0
586,"Cottonwood, Minnesota",0.0
587,"Covington, Alabama",0.0
588,"Covington, Virginia",0.0
589,"Cowley, Kansas",6.554054054054054
590,"Cowlitz, Washington",0.09090909090909091
591,"Craig, Oklahoma",0.0
592,"Craig, Virginia",0.0
593,"Craighead, Arkansas",0.0
594,"Crane, Texas",7.993333333333335
595,"Craven, North Carolina",0.0
596,"Crawford county, Pennsylvania",0.0
597,"Crawford, Arkansas",0.0
598,"Crawford, Illinois",0.725
599,"Crawford, Indiana",0.0
600,"Crawford, Iowa",6.666666666666667
601,"Crawford, Kansas",1.6852941176470586
602,"Crawford, Michigan",0.08333333333333333
603,"Crawford, Missouri",0.0
604,"Crawford, Ohio",0.3538461538461538
605,"Crawford, Pennsylvania",0.08
606,"Crawford, Wisconsin",0.05714285714285715
607,"Creek, Oklahoma",3.9529411764705884
608,"Crenshaw, Alabama",0.0
609,"Crittenden, Arkansas",0.0
610,"Crittenden, Kentucky",0.0
611,"Crockett, Tennessee",0.11666666666666665
612,"Crockett, Texas",2.415
613,"Crook, Oregon",0.08902631578947369
614,"Crook, Wyoming",2.4
615,"Crosby, Texas",4.20125
616,"Cross, Arkansas",0.0
617,"Crow wing, Minnesota",0.0
618,"Culberson, Texas",1.85
619,"Cullman, Alabama",0.30642857142857144
620,"Culpeper, Virginia",0.10420168067226891
621,"Cumberland, Illinois",0.568
622,"Cumberland, Kentucky",0.0
623,"Cumberland, Maine",0.267515923566879
624,"Cumberland, New Jersey",0.4954148471615722
625,"Cumberland, North Carolina",0.0
626,"Cumberland, Pennsylvania",0.0
627,"Cumberland, Tennessee",0.0
628,"Cumberland, Virginia",0.0
629,"Cuming, Nebraska",18.318666666666665
630,"Currituck, North Carolina",0.0
631,"Curry, New Mexico",5.679340659340658
632,"Curry, Oregon",0.0
633,"Custer, Idaho",0.2846666666666667
634,"Custer, Montana",0.0
635,"Custer, Nebraska",1.515897435897436
636,"Custer, Oklahoma",1.7647058823529411
637,"Custer, South Dakota",2.0923076923076924
638,"Cuyahoga, Ohio",0.3105970149253731
639,"Dade, Florida",0.0
640,"Dade, Missouri",0.0
641,"Daggett, Utah",4.849661016949151
642,"Dakota, Minnesota",0.2956666666666667
643,"Dakota, Nebraska",1.1823076923076923
644,"Dale, Alabama",0.014
645,"Dallam, Texas",0.975
646,"Dallas, Alabama",0.0
647,"Dallas, Arkansas",0.0
648,"Dallas, Iowa",1.2
649,"Dallas, Missouri",0.0
650,"Dallas, Texas",1.0932727272727272
651,"Dane, Wisconsin",0.08948805460750854
652,"Daniels, Montana",0.0
653,"Danville, Virginia",0.0
654,"Dare, North Carolina",0.5
655,"Darke, Ohio",0.0
656,"Darlington, South Carolina",0.0
657,"Dauphin county, Pennsylvania",0.0
658,"Dauphin, Pennsylvania",0.3585245901639344
659,"Davidson, North Carolina",0.0
660,"Davidson, Tennessee",0.17413793103448275
661,"Davie, North Carolina",0.0
662,"Daviess, Indiana",0.0
663,"Daviess, Kentucky",0.4444444444444444
664,"Daviess, Missouri",0.0
665,"Davis, Utah",0.6510227272727275
666,"Dawes, Nebraska",2.7121052631578944
667,"Dawson, Montana",0.0
668,"Dawson, Nebraska",2.0395999999999996
669,"Dawson, Texas",25.371428571428567
670,"De baca, New Mexico",2.3166666666666664
671,"De kalb, Indiana",0.0
672,"De kalb, Missouri",2.81
673,"De soto, Florida",0.9
