,county,chromium
508,"Clayton, Iowa",0.7999999999999999
509,"Clearfield county, Pennsylvania",0.0
510,"Clearfield, Pennsylvania",1.3888888888888888
511,"Clearwater, Idaho",0.5554166666666666
512,"Clearwater, Minnesota",0.0
513,"Cleburne, Alabama",0.0
514,"Cleburne, Arkansas",0.0
515,"Clermont, Ohio",0.0
516,"Cleveland, Arkansas",0.0
517,"Cleveland, North Carolina",0.0
518,"Cleveland, Oklahoma",22.87849462365591
519,"Clinton, Illinois",0.20384615384615384
520,"Clinton, Indiana",0.24166666666666667
521,"Clinton, Iowa",0.0
522,"Clinton, Kentucky",0.0
523,"Clinton, Michigan",0.0
524,"Clinton, Missouri",0.09499999999999999
525,"Clinton, New York",0.09312977099236643
526,"Clinton, Ohio",0.0
527,"Clinton, Pennsylvania",0.0
528,"Cloud, Kansas",2.7064516129032263
529,"Coal, Oklahoma",0.0
530,"Cochise, Arizona",1.1853807106598981
531,"Cochran, Texas",1.0163636363636364
532,"Cocke, Tennessee",0.0
533,"Coconino, Arizona",1.27734375
534,"Codington, South Dakota",4.3999999999999995
535,"Coffee, Alabama",0.03571428571428571
536,"Coffee, Tennessee",0.014285714285714287
537,"Coffey, Kansas",1.2666666666666668
538,"Coke, Texas",1.605
539,"Colbert, Alabama",0.6278571428571429
540,"Cole, Missouri",1.150126582278481
541,"Coleman, Texas",0.0
542,"Coles, Illinois",0.8099999999999999
543,"Colfax, Nebraska",8.851499999999998
544,"Colfax, New Mexico",0.3729135593220339
545,"Colleton, South Carolina",0.0
546,"Collier, Florida",1.3650793650793653
547,"Collin, Texas",1.9472368421052633
548,"Collingsworth, Texas",0.38499999999999995
549,"Colorado, Texas",0.0
550,"Columbia county, Pennsylvania",2.1
551,"Columbia, Arkansas",0.08775510204081632
552,"Columbia, Florida",3.186206896551724
553,"Columbia, New York",0.0
554,"Columbia, Oregon",0.02692307692307692
555,"Columbia, Pennsylvania",0.6333333333333333
556,"Columbia, Washington",0.96
557,"Columbia, Wisconsin",0.9572807017543858
558,"Columbiana, Ohio",0.35990196078431375
559,"Columbus county, North Carolina",0.0
560,"Columbus, North Carolina",0.0
561,"Colusa, California",2.928813559322034
562,"Comal, Texas",1.815029702970298
563,"Comanche, Kansas",2.3785714285714286
564,"Comanche, Oklahoma",0.0
565,"Comanche, Texas",0.4566666666666666
566,"Concho, Texas",0.0
567,"Concordia, Louisiana",0.0
568,"Conecuh, Alabama",0.0
569,"Contra costa, California",1.295547263681592
570,"Converse, Wyoming",0.0
571,"Conway, Arkansas",0.0
572,"Cook, Illinois",0.1863816425120773
573,"Cook, Minnesota",0.0
574,"Cooke, Texas",2.8704800000000006
575,"Cooper, Missouri",2.2044444444444444
576,"Coos, New Hampshire",0.006896551724137931
577,"Coos, Oregon",0.0
578,"Coosa, Alabama",0.0
579,"Corson, South Dakota",17.939999999999998
580,"Cortland, New York",0.257
581,"Coryell, Texas",0.0
582,"Coshocton, Ohio",0.037037037037037035
583,"Cottle, Texas",0.6233333333333333
584,"Cotton, Oklahoma",0.0
585,"Cottonwood county, Minnesota",0.0
586,"Cottonwood, Minnesota",0.0
587,"Covington, Alabama",0.3709090909090909
588,"Covington, Virginia",0.0
589,"Cowley, Kansas",2.2999999999999994
590,"Cowlitz, Washington",0.9287878787878787
591,"Craig, Oklahoma",0.0
592,"Craig, Virginia",0.0
593,"Craighead, Arkansas",0.2425
594,"Crane, Texas",0.9883333333333333
595,"Craven, North Carolina",2.9069767441860463
596,"Crawford county, Pennsylvania",0.0
597,"Crawford, Arkansas",0.0
598,"Crawford, Illinois",0.0
599,"Crawford, Indiana",0.0
600,"Crawford, Iowa",0.0
601,"Crawford, Kansas",1.9500000000000004
602,"Crawford, Michigan",0.0
603,"Crawford, Missouri",0.5049999999999999
604,"Crawford, Ohio",0.6923076923076923
605,"Crawford, Pennsylvania",0.496
606,"Crawford, Wisconsin",0.5549999999999999
607,"Creek, Oklahoma",0.6941176470588235
608,"Crenshaw, Alabama",0.0
609,"Crittenden, Arkansas",0.5878787878787879
610,"Crittenden, Kentucky",0.0
611,"Crockett, Tennessee",0.0
612,"Crockett, Texas",3.48
613,"Crook, Oregon",0.0
614,"Crook, Wyoming",0.04
615,"Crosby, Texas",1.5
616,"Cross, Arkansas",0.7714285714285715
617,"Crow wing, Minnesota",0.0
618,"Culberson, Texas",2.84
619,"Cullman, Alabama",1.0085714285714287
620,"Culpeper, Virginia",0.05050420168067227
621,"Cumberland, Illinois",0.0
622,"Cumberland, Kentucky",0.0
623,"Cumberland, Maine",1.5815822784810127
624,"Cumberland, New Jersey",0.3266375545851528
625,"Cumberland, North Carolina",0.0
626,"Cumberland, Pennsylvania",3.065384615384615
627,"Cumberland, Tennessee",0.0
628,"Cumberland, Virginia",0.1411764705882353
629,"Cuming, Nebraska",8.997999999999998
630,"Currituck, North Carolina",0.0
631,"Curry, New Mexico",2.8928409090909093
632,"Curry, Oregon",0.0
633,"Custer, Idaho",0.48400000000000004
634,"Custer, Montana",0.0
635,"Custer, Nebraska",6.856923076923077
636,"Custer, Oklahoma",0.6647058823529411
637,"Custer, South Dakota",1.146153846153846
638,"Cuyahoga, Ohio",0.3649253731343283
639,"Dade, Florida",0.2916666666666667
640,"Dade, Missouri",0.20625000000000002
641,"Daggett, Utah",0.453448275862069
642,"Dakota, Minnesota",0.0
643,"Dakota, Nebraska",10.10769230769231
644,"Dale, Alabama",0.0
645,"Dallam, Texas",2.825
646,"Dallas, Alabama",0.0
647,"Dallas, Arkansas",0.68
648,"Dallas, Iowa",0.0
649,"Dallas, Missouri",0.6376470588235295
650,"Dallas, Texas",3.040318181818182
651,"Dane, Wisconsin",0.5955018587360595
652,"Daniels, Montana",0.0
653,"Danville, Virginia",0.0
654,"Dare, North Carolina",0.0
655,"Darke, Ohio",0.0
656,"Darlington, South Carolina",0.0
657,"Dauphin county, Pennsylvania",0.0
658,"Dauphin, Pennsylvania",1.472131147540983
659,"Davidson, North Carolina",0.0
660,"Davidson, Tennessee",0.0
661,"Davie, North Carolina",0.0
662,"Daviess, Indiana",0.0
663,"Daviess, Kentucky",0.1111111111111111
