,county,cyanide
611,"Effingham, Illinois",0.0
612,"El dorado, California",0.0625
613,"El paso, Texas",1.1111111111111112
614,"Elk, Pennsylvania",0.0
615,"Elkhart, Indiana",0.0
616,"Elko, Nevada",3.066666666666667
617,"Elliott, Kentucky",0.0
618,"Ellis, Oklahoma",0.0
619,"Ellis, Texas",2.3333333333333335
620,"Elmore, Alabama",0.5333333333333333
621,"Elmore, Idaho",0.0
622,"Emery, Utah",0.0
623,"Emmet, Michigan",0.0
624,"Erie county, Pennsylvania",0.0
625,"Erie, New York",3.8684210526315788
626,"Erie, Ohio",0.2857142857142857
627,"Erie, Pennsylvania",0.0
628,"Escambia, Alabama",0.0
629,"Escambia, Florida",0.6000000000000001
630,"Esmeralda, Nevada",0.0
631,"Essex county, New York",0.0
632,"Essex, Massachusetts",0.0
633,"Essex, New Jersey",0.10256410256410256
634,"Essex, New York",0.09022556390977443
635,"Essex, Vermont",0.0
636,"Essex, Virginia",0.0
637,"Estill, Kentucky",0.0
638,"Etowah, Alabama",0.0
639,"Eureka, Nevada",0.0
640,"Evangeline parish, Louisiana",0.0
641,"Evangeline, Louisiana",0.0
642,"Fairbanks north star, Alaska",0.0
643,"Fairfax, Virginia",0.0
644,"Fairfield, Connecticut",0.1384083044982699
645,"Fairfield, Ohio",0.0
646,"Falls, Texas",0.0
647,"Fannin, Texas",10.0
648,"Faribault, Minnesota",0.0
649,"Fauquier, Virginia",0.0
650,"Fayette, Alabama",0.0
651,"Fayette, Illinois",1.238888888888889
652,"Fayette, Indiana",0.0
653,"Fayette, Kentucky",0.0
654,"Fayette, Ohio",0.0
655,"Fayette, Pennsylvania",0.0
656,"Fayette, Tennessee",0.0
657,"Fayette, West Virginia",2.1548387096774193
658,"Fentress, Tennessee",0.0
659,"Fergus, Montana",0.0
660,"Ferry, Washington",0.0
661,"Fillmore, Minnesota",1.8518518518518519
662,"Fillmore, Nebraska",0.0
663,"Flagler, Florida",1.73448275862069
664,"Fleming, Kentucky",1.1111111111111112
665,"Floyd, Indiana",0.0
