,county,di(2-ethylhexyl)_adipate
504,"Cullman, Alabama",0.0
505,"Culpeper, Virginia",0.0
506,"Cumberland county, Pennsylvania",0.0
507,"Cumberland, Illinois",0.0
508,"Cumberland, Kentucky",0.0
509,"Cumberland, Maine",0.0
510,"Cumberland, New Jersey",0.0
511,"Cumberland, North Carolina",0.001882716049382716
512,"Cumberland, Pennsylvania",0.0
513,"Cumberland, Virginia",0.0
514,"Cuming, Nebraska",0.0
515,"Currituck, North Carolina",0.0
516,"Curry, New Mexico",0.005329949238578681
517,"Curry, Oregon",0.0
518,"Custer, Idaho",0.0
519,"Custer, Montana",0.0
520,"Custer, Nebraska",0.0
521,"Custer, South Dakota",0.0
522,"Cuyahoga, Ohio",0.0
523,"Dade, Florida",0.0
524,"Daggett, Utah",0.0
525,"Dakota, Minnesota",0.0
526,"Dakota, Nebraska",0.0
527,"Dale, Alabama",0.00010483870967741934
528,"Dallam, Texas",0.0
529,"Dallas, Alabama",0.0
530,"Dallas, Arkansas",0.0
531,"Dallas, Iowa",0.05384615384615384
532,"Dallas, Texas",0.0
533,"Dane, Wisconsin",0.0
534,"Daniels, Montana",0.0
535,"Danville, Virginia",0.0
536,"Dare, North Carolina",0.0
537,"Darlington, South Carolina",0.0
538,"Dauphin county, Pennsylvania",0.0
539,"Dauphin, Pennsylvania",0.0
540,"Davidson, North Carolina",0.0
541,"Davie, North Carolina",0.0
542,"Daviess, Indiana",0.0
543,"Daviess, Kentucky",0.0
544,"Davis, Iowa",0.0
545,"Davis, Utah",0.008437499999999999
546,"Dawes, Nebraska",0.0
547,"Dawson, Montana",0.0
548,"Dawson, Nebraska",0.0
549,"Dawson, Texas",0.0
550,"Day, South Dakota",0.0
551,"De baca, New Mexico",0.0
552,"De kalb, Indiana",0.0
553,"De soto, Florida",0.0
554,"De soto, Louisiana",0.0
555,"De witt, Illinois",0.0
556,"Deaf smith, Texas",0.0
557,"Dearborn, Indiana",0.0
558,"Decatur, Indiana",0.0
559,"Decatur, Iowa",0.2
560,"Deer lodge, Montana",0.0
561,"Defiance, Ohio",0.0
562,"Dekalb, Alabama",0.0
563,"Dekalb, Illinois",0.0
564,"Dekalb, Indiana",0.0
565,"Delaware, Indiana",0.0
566,"Delaware, Iowa",0.0761904761904762
567,"Delaware, New York",0.0
568,"Delaware, Ohio",0.0
569,"Delaware, Pennsylvania",0.0
570,"Delta, Texas",0.0
571,"Denton, Texas",0.10577777777777778
572,"Des moines, Iowa",0.0
573,"Deschutes, Oregon",0.0
574,"Desha, Arkansas",0.0
575,"Desoto, Florida",0.0
576,"Deuel, Nebraska",0.0
577,"Dewey, South Dakota",0.0
578,"Dewitt, Texas",0.0
579,"Dickens, Texas",0.0
580,"Dickey, North Dakota",0.0
581,"Dickinson, Iowa",0.0
582,"Dillon, South Carolina",0.0
583,"Dimmit, Texas",0.0
584,"Dinwiddie, Virginia",0.0
585,"District of columbia, District of Columbia",0.0
586,"Dixie, Florida",0.0
587,"Dixon, Nebraska",0.0
588,"Doddridge, West Virginia",0.0
589,"Dodge, Minnesota",0.0
590,"Dodge, Nebraska",0.0
591,"Dodge, Wisconsin",0.0
592,"Dona ana, New Mexico",0.171988416988417
593,"Donley, Texas",0.0
594,"Door, Wisconsin",0.0
595,"Dorchester, Maryland",0.0
596,"Dorchester, South Carolina",0.0
597,"Douglas, Illinois",0.0
598,"Douglas, Minnesota",0.0
599,"Douglas, Nebraska",0.0
600,"Douglas, Nevada",0.0
601,"Douglas, Oregon",0.0
602,"Douglas, Washington",0.0
603,"Douglas, Wisconsin",0.0
604,"Drew, Arkansas",0.0
605,"Du page, Illinois",0.0
606,"Dubois, Indiana",0.0
607,"Dubuque, Iowa",0.02
608,"Duchesne, Utah",0.0
609,"Dukes, Massachusetts",0.0
610,"Dundy, Nebraska",0.0
611,"Dunn, Wisconsin",0.0
612,"Dupage, Illinois",0.0
613,"Duplin, North Carolina",0.01815311004784689
614,"Durham, North Carolina",0.051444444444444445
615,"Dutchess, New York",0.0
616,"Duval county, Florida",0.0
617,"Duval, Florida",0.004816666666666667
618,"Duval, Texas",0.0
619,"East baton rouge parish, Louisiana",0.0
620,"East baton rouge, Louisiana",0.07292079207920792
621,"East carroll, Louisiana",0.45999999999999996
622,"East feliciana, Louisiana",0.050666666666666665
623,"Eastland, Texas",0.0
624,"Eau claire, Wisconsin",0.3
625,"Ector, Texas",0.0
626,"Eddy, New Mexico",0.0
627,"Edgar, Illinois",0.0
628,"Edgecombe, North Carolina",0.0
629,"Edmonson, Kentucky",0.0
630,"Edwards, Illinois",0.0
631,"Edwards, Texas",0.0
632,"Effingham, Illinois",0.0
633,"El dorado, California",0.0
634,"El paso, Texas",0.0
635,"Elk, Pennsylvania",0.0
636,"Elkhart, Indiana",0.0428
637,"Elko, Nevada",0.0
638,"Elliott, Kentucky",0.0
639,"Ellis, Texas",0.0
640,"Elmore, Alabama",0.304931506849315
641,"Elmore, Idaho",0.0
642,"Emery, Utah",0.0
643,"Emmet, Iowa",0.0
644,"Erath, Texas",0.0
645,"Erie county, Pennsylvania",0.0
646,"Erie, New York",0.0
647,"Erie, Ohio",0.0
648,"Erie, Pennsylvania",0.0
649,"Escambia, Alabama",0.0
650,"Escambia, Florida",0.0
651,"Esmeralda, Nevada",0.0
652,"Essex county, New York",0.0
653,"Essex, Massachusetts",0.0
654,"Essex, New Jersey",0.0
655,"Essex, New York",0.0
656,"Essex, Vermont",0.0
657,"Estill, Kentucky",0.0
658,"Etowah, Alabama",0.0
659,"Eureka county, Nevada",0.0
660,"Eureka, Nevada",0.0
661,"Evangeline parish, Louisiana",0.09571428571428572
662,"Evangeline, Louisiana",0.0165
663,"Fairbanks north star, Alaska",0.0
664,"Fairfax, Virginia",0.0
665,"Fairfield, Connecticut",0.0
666,"Fairfield, Ohio",0.0
667,"Fairfield, South Carolina",0.0
668,"Fall river, South Dakota",0.0
669,"Fallon, Montana",0.0
670,"Falls, Texas",0.0
671,"Fannin, Texas",0.07254545454545455
672,"Faulk, South Dakota",0.0
673,"Fauquier, Virginia",0.0
674,"Fayette, Alabama",0.0
675,"Fayette, Illinois",0.0
676,"Fayette, Indiana",0.0
677,"Fayette, Iowa",0.0
678,"Fayette, Kentucky",0.0
679,"Fayette, Pennsylvania",0.0
680,"Fayette, Texas",0.0
681,"Fayette, West Virginia",0.0
682,"Fergus, Montana",0.0
683,"Ferry, Washington",0.02246666666666667
684,"Fillmore, Minnesota",0.0
685,"Fillmore, Nebraska",0.0
686,"Fisher, Texas",0.0
687,"Flagler, Florida",0.0
688,"Flathead, Montana",0.0
689,"Fleming, Kentucky",0.0
690,"Florence, South Carolina",0.0
691,"Floyd, Indiana",0.0
692,"Floyd, Iowa",0.12941176470588237
693,"Floyd, Kentucky",0.045000000000000005
694,"Floyd, Texas",0.0
695,"Fluvanna, Virginia",0.0
696,"Foard, Texas",0.0
697,"Fond du lac, Wisconsin",0.0
698,"Ford, Illinois",0.0
699,"Forest, Pennsylvania",0.0
700,"Forest, Wisconsin",0.0
701,"Forsyth, North Carolina",0.02
702,"Fort bend county, Texas",0.0
703,"Fort bend, Texas",0.0
704,"Fountain, Indiana",0.0
705,"Franklin county, New York",0.0
706,"Franklin county, Pennsylvania",0.0
707,"Franklin, Alabama",0.0
708,"Franklin, Arkansas",0.0
709,"Franklin, Florida",0.0
710,"Franklin, Idaho",0.0
711,"Franklin, Illinois",0.0
712,"Franklin, Indiana",0.0
713,"Franklin, Iowa",0.0
714,"Franklin, Kentucky",0.0
715,"Franklin, Louisiana",0.11172413793103449
716,"Franklin, Maine",0.0
717,"Franklin, Massachusetts",0.0
718,"Franklin, Nebraska",0.0
719,"Franklin, New York",0.0
720,"Franklin, North Carolina",0.10734545454545452
721,"Franklin, Ohio",0.0
722,"Franklin, Pennsylvania",0.0
723,"Franklin, Texas",0.004074074074074074
724,"Franklin, Vermont",0.0
725,"Franklin, Virginia",0.0
726,"Franklin, Washington",0.0
727,"Frederick, Maryland",0.0
728,"Frederick, Virginia",0.0
729,"Freeborn, Minnesota",0.0
730,"Freestone, Texas",0.022307692307692306
731,"Fremont, Idaho",0.0
732,"Fremont, Iowa",0.06666666666666667
733,"Fremont, Wyoming",0.0
734,"Fresno, California",0.013450292397660818
735,"Frio, Texas",0.0
736,"Frontier, Nebraska",0.0
737,"Fulton, Arkansas",0.0
738,"Fulton, Illinois",0.0
739,"Fulton, Indiana",0.0
740,"Fulton, Kentucky",0.029523809523809525
741,"Fulton, New York",0.03108108108108108
742,"Fulton, Ohio",0.0
743,"Fulton, Pennsylvania",0.0
744,"Furnas, Nebraska",0.0
745,"Gadsden, Florida",0.0
746,"Gage, Nebraska",0.0
747,"Gaines, Texas",0.0
748,"Galax, Virginia",0.0
749,"Gallatin, Illinois",0.0
750,"Gallatin, Kentucky",0.006896551724137932
751,"Gallatin, Montana",0.0
752,"Galveston, Texas",0.0
753,"Garden, Nebraska",0.0
754,"Garfield, Montana",0.0
755,"Garfield, Nebraska",0.0
756,"Garfield, Utah",0.0
757,"Garfield, Washington",0.0
758,"Garland, Arkansas",0.0
759,"Garrard, Kentucky",0.0
760,"Garrett, Maryland",0.0
761,"Garza, Texas",0.0
762,"Gaston, North Carolina",0.004535104364326376
763,"Gates, North Carolina",0.0
764,"Geauga, Ohio",0.06416666666666666
765,"Gem, Idaho",0.0
766,"Genesee, New York",0.0
767,"Geneva, Alabama",0.0
768,"Georgetown, South Carolina",0.0
769,"Gibson, Indiana",0.0
770,"Gila, Arizona",0.0
771,"Gilchrist, Florida",0.0
772,"Giles, Tennessee",0.0
773,"Giles, Virginia",0.0
774,"Gillespie, Texas",0.0
775,"Gilliam, Oregon",0.0
776,"Gilmer, West Virginia",0.0
