,county,di(2-ethylhexyl)_phthalate
485,"Crane, Texas",0.0
486,"Craven, North Carolina",0.05096153846153846
487,"Crawford county, Pennsylvania",0.0
488,"Crawford, Arkansas",0.0
489,"Crawford, Illinois",0.2852941176470588
490,"Crawford, Indiana",0.0
491,"Crawford, Iowa",0.05384615384615384
492,"Crawford, Michigan",0.0
493,"Crawford, Pennsylvania",0.6038461538461539
494,"Crawford, Wisconsin",0.0
495,"Crenshaw, Alabama",0.03275421686746988
496,"Crittenden, Arkansas",0.15887323943661974
497,"Crittenden, Kentucky",0.0
498,"Crockett, Texas",0.0
499,"Crook, Oregon",0.0
500,"Crook, Wyoming",0.0
501,"Crosby, Texas",0.0
502,"Cross, Arkansas",0.0
503,"Crow wing, Minnesota",0.00660377358490566
504,"Culberson, Texas",0.0
505,"Cullman, Alabama",0.0
506,"Culpeper, Virginia",0.0
507,"Cumberland county, Pennsylvania",0.0
508,"Cumberland, Illinois",0.0
509,"Cumberland, Kentucky",0.0
510,"Cumberland, Maine",0.03590909090909091
511,"Cumberland, New Jersey",0.0
512,"Cumberland, North Carolina",0.036034591194968546
513,"Cumberland, Pennsylvania",0.051960784313725486
514,"Cumberland, Virginia",0.0
515,"Cuming, Nebraska",0.13705882352941176
516,"Currituck, North Carolina",0.0
517,"Curry, New Mexico",0.4843737864077669
518,"Curry, Oregon",0.05185185185185185
519,"Custer, Idaho",0.0
520,"Custer, Montana",0.0
521,"Custer, Nebraska",0.0
522,"Custer, South Dakota",0.0
523,"Cuyahoga, Ohio",0.0
524,"Dade, Florida",0.0
525,"Daggett, Utah",0.0
526,"Dakota, Minnesota",0.2880597014925373
527,"Dakota, Nebraska",0.0
528,"Dale, Alabama",0.06600992366412213
529,"Dallam, Texas",0.0
530,"Dallas, Alabama",0.0
531,"Dallas, Arkansas",0.0
532,"Dallas, Iowa",0.16333333333333336
533,"Dallas, Texas",0.037599999999999995
534,"Dane, Wisconsin",0.14615384615384616
535,"Daniels, Montana",0.0
536,"Danville, Virginia",0.0
537,"Dare, North Carolina",0.0
538,"Darlington, South Carolina",0.032432432432432434
539,"Dauphin county, Pennsylvania",0.16
540,"Dauphin, Pennsylvania",0.06036585365853658
541,"Davidson, North Carolina",0.8166666666666667
542,"Davie, North Carolina",0.0
543,"Daviess, Indiana",0.31428571428571433
544,"Daviess, Kentucky",0.0
545,"Davis, Iowa",0.0
546,"Davis, Utah",0.0
547,"Dawes, Nebraska",0.0
548,"Dawson, Montana",0.0
549,"Dawson, Nebraska",0.0
550,"Dawson, Texas",6.25
551,"Day, South Dakota",0.0
552,"De baca, New Mexico",0.0
553,"De kalb, Indiana",0.6111111111111112
554,"De soto, Florida",0.07692307692307693
555,"De soto, Louisiana",0.6857352941176473
556,"De witt, Illinois",0.9251586122448979
557,"Deaf smith, Texas",0.0
558,"Dearborn, Indiana",0.0
559,"Decatur, Indiana",0.0
560,"Decatur, Iowa",0.0
561,"Deer lodge, Montana",0.0
562,"Defiance, Ohio",0.0
563,"Dekalb, Alabama",0.0
564,"Dekalb, Illinois",0.07894736842105263
565,"Dekalb, Indiana",0.145
566,"Delaware, Indiana",0.05405405405405406
567,"Delaware, Iowa",0.24107142857142858
568,"Delaware, New York",0.09324324324324325
569,"Delaware, Ohio",0.0
570,"Delaware, Pennsylvania",0.0
571,"Delta, Texas",0.0
572,"Denton, Texas",0.059103773584905664
573,"Des moines, Iowa",0.15
574,"Deschutes, Oregon",0.018
575,"Desha, Arkansas",0.17426470588235293
576,"Desoto, Florida",0.0
577,"Deuel, Nebraska",0.0
578,"Dewey, South Dakota",0.0
579,"Dewitt, Texas",0.0
580,"Dickens, Texas",0.0
581,"Dickey, North Dakota",0.0
582,"Dickinson, Iowa",0.0
583,"Dillon, South Carolina",0.09310344827586207
584,"Dimmit, Texas",1.1538461538461537
585,"Dinwiddie, Virginia",0.0
586,"District of columbia, District of Columbia",0.045
587,"Dixie, Florida",0.04043478260869565
588,"Dixon, Nebraska",0.07954545454545454
589,"Doddridge, West Virginia",0.0
590,"Dodge, Minnesota",0.0
591,"Dodge, Nebraska",0.0
592,"Dodge, Wisconsin",0.4187804878048781
593,"Dona ana, New Mexico",0.38245880149812733
594,"Donley, Texas",0.0
595,"Door, Wisconsin",0.29444444444444445
596,"Dorchester, Maryland",0.42058823529411765
597,"Dorchester, South Carolina",0.16333333333333333
598,"Douglas, Illinois",0.0
599,"Douglas, Minnesota",0.057446808510638304
600,"Douglas, Nebraska",0.5655081967213115
601,"Douglas, Nevada",0.06714285714285714
602,"Douglas, Oregon",0.12515151515151515
603,"Douglas, Washington",0.0
604,"Douglas, Wisconsin",1.8111111111111111
605,"Drew, Arkansas",0.053947368421052626
606,"Du page, Illinois",0.0
607,"Dubois, Indiana",0.0
608,"Dubuque, Iowa",0.16794871794871793
609,"Duchesne, Utah",0.0
610,"Dukes, Massachusetts",0.0
611,"Dundy, Nebraska",0.0
612,"Dunn, Wisconsin",2.7529166666666662
613,"Dupage, Illinois",0.04008225243553009
614,"Duplin, North Carolina",0.014903846153846153
615,"Durham, North Carolina",0.014814814814814815
616,"Dutchess, New York",0.0680269058295964
617,"Duval county, Florida",0.12333333333333334
618,"Duval, Florida",0.12892592592592594
619,"Duval, Texas",0.0
620,"East baton rouge parish, Louisiana",1.6928571428571428
621,"East baton rouge, Louisiana",1.042395833333333
622,"East carroll, Louisiana",0.6250000000000001
623,"East feliciana, Louisiana",0.8385185185185186
624,"Eastland, Texas",0.0
625,"Eau claire, Wisconsin",2.225
626,"Ector, Texas",0.0
627,"Eddy, New Mexico",0.1191111111111111
628,"Edgar, Illinois",0.13988399166666668
629,"Edgecombe, North Carolina",0.0
