,county,alkalinity
598,"Grant, Kentucky",145103.44827586206
599,"Grant, Louisiana",74966.66666666667
600,"Grant, North Dakota",465000.0
601,"Grant, Oklahoma",391750.0
602,"Grant, West Virginia",51096.57534246575
603,"Granville, North Carolina",61948.57142857143
604,"Graves, Kentucky",91916.66666666667
605,"Gray, Kansas",166343.75
606,"Gray, Texas",198696.9696969697
607,"Grayson, Kentucky",97809.85915492958
608,"Grayson, Texas",327227.4881516588
609,"Grayson, Virginia",36960.65573770492
610,"Greeley, Kansas",145000.0
611,"Green, Kentucky",62000.0
612,"Greenbrier, West Virginia",42703.1746031746
613,"Greene, Alabama",181872.22222222222
614,"Greene, Illinois",116315.78947368421
615,"Greene, Missouri",144300.0
616,"Greene, Ohio",368400.0
617,"Greene, Pennsylvania",35264.36781609195
618,"Greene, Virginia",30701.573033707864
619,"Greensville, Virginia",28718.625
620,"Greenup, Kentucky",58837.5
621,"Greenville, South Carolina",10444.372093023256
622,"Greenwood, Kansas",136250.8547008547
623,"Greenwood, South Carolina",22457.14285714286
624,"Greer, Oklahoma",128500.0
625,"Gregg, Texas",186434.2105263158
626,"Griggs, North Dakota",297500.0
627,"Grimes, Texas",288357.14285714284
628,"Grundy, Illinois",376960.0
629,"Grundy, Missouri",152817.80821917808
630,"Guadalupe, Texas",201932.2033898305
631,"Guilford, North Carolina",39075.56642216789
632,"Guthrie, Iowa",228654.7619047619
633,"Hale, Alabama",49414.28571428572
634,"Hale, Texas",261656.71641791044
635,"Halifax, North Carolina",30076.408450704224
636,"Halifax, Virginia",82876.83168316832
637,"Hall, Texas",195166.66666666666
638,"Hamilton, Illinois",145000.0
639,"Hamilton, Kansas",155333.33333333334
640,"Hamilton, New York",40000.0
641,"Hamilton, Texas",294071.4285714286
642,"Hampshire, West Virginia",86500.0
643,"Hampton, South Carolina",197500.0
644,"Hancock, Illinois",161728.9972899729
645,"Hancock, Iowa",403333.3333333333
646,"Hancock, Kentucky",176000.0
647,"Hancock, Maine",55123.8591916558
648,"Hancock, West Virginia",77118.04511278195
649,"Hanover, Virginia",66323.89105058365
650,"Hansford, Texas",214812.5
651,"Hardeman, Texas",200500.0
652,"Hardin, Illinois",141990.0
653,"Hardin, Iowa",360000.0
654,"Hardin, Kentucky",210114.37531486145
655,"Hardin, Texas",147118.64406779662
656,"Hardy, West Virginia",76261.02898550725
657,"Harlan, Kentucky",170055.76923076922
658,"Harnett, North Carolina",26150.0
659,"Harper, Kansas",260833.33333333334
660,"Harris, Texas",186939.61148648648
661,"Harrison, Kentucky",154269.23076923078
662,"Harrison, Missouri",101150.4132231405
663,"Harrison, Texas",234964.70588235295
664,"Harrison, West Virginia",55301.895910780666
665,"Harrisonburg, Virginia",50556.92307692308
666,"Hart, Kentucky",143844.15584415584
667,"Hartford, Connecticut",14365.84473576403
668,"Hartley, Texas",204818.18181818182
669,"Harvey, Kansas",198591.66666666666
670,"Haskell, Kansas",166647.0588235294
671,"Haskell, Oklahoma",52816.32653061225
672,"Haskell, Texas",223857.14285714287
673,"Hays, Texas",261935.6725146199
674,"Haywood, North Carolina",10078.58407079646
675,"Hemphill, Texas",237500.0
676,"Henderson, Illinois",230166.66666666666
677,"Henderson, Kentucky",98674.53703703704
678,"Henderson, North Carolina",30018.260869565216
679,"Henderson, Texas",133310.88082901554
680,"Hendricks, Indiana",290200.0
