,county,chlordane
657,"Erath, Texas",0.0
658,"Erie county, Pennsylvania",0.0
659,"Erie, New York",0.0
660,"Erie, Pennsylvania",0.002709677419354839
661,"Escambia, Alabama",0.0
662,"Escambia, Florida",0.0008391608391608392
663,"Esmeralda, Nevada",0.0
664,"Essex county, New York",0.0
665,"Essex, Massachusetts",0.0
666,"Essex, New York",0.0
667,"Essex, Vermont",0.0
668,"Estill, Kentucky",0.0
669,"Etowah, Alabama",0.0
670,"Eureka county, Nevada",0.0
671,"Eureka, Nevada",0.0
672,"Evangeline parish, Louisiana",0.0
673,"Evangeline, Louisiana",0.0
674,"Fairbanks north star, Alaska",0.0
675,"Fairfax, Virginia",0.0
676,"Fairfield, Connecticut",0.0
677,"Fairfield, South Carolina",0.0
678,"Fall river, South Dakota",0.0
679,"Fallon, Montana",0.0
680,"Falls, Texas",0.0
681,"Fannin, Texas",0.0
682,"Faulk, South Dakota",0.0
683,"Fauquier, Virginia",0.0
684,"Fayette, Alabama",0.0
685,"Fayette, Illinois",0.0
686,"Fayette, Indiana",0.0
687,"Fayette, Kentucky",0.0
688,"Fayette, Pennsylvania",0.0
689,"Fayette, Texas",0.0
690,"Fayette, West Virginia",0.0
691,"Fergus, Montana",0.0
692,"Ferry, Washington",0.0
693,"Fillmore, Minnesota",0.0
694,"Fillmore, Nebraska",0.0
695,"Finney, Kansas",0.0
696,"Fisher, Texas",0.0
697,"Flagler, Florida",0.0
698,"Flathead, Montana",0.0
699,"Fleming, Kentucky",0.0
700,"Florence, South Carolina",0.0
701,"Florence, Wisconsin",0.0
702,"Floyd, Indiana",0.0
703,"Floyd, Kentucky",0.0
704,"Floyd, Texas",0.0
705,"Fluvanna, Virginia",0.0
706,"Fond du lac, Wisconsin",0.0
707,"Ford, Illinois",0.0
708,"Forest, Pennsylvania",0.0
709,"Forest, Wisconsin",0.0
710,"Forsyth, North Carolina",0.0
711,"Fort bend county, Texas",0.0
712,"Fort bend, Texas",0.0
713,"Foster, North Dakota",0.0
714,"Fountain, Indiana",0.0
715,"Franklin county, Missouri",0.0
716,"Franklin county, New York",0.0
717,"Franklin county, Pennsylvania",0.0
718,"Franklin, Alabama",0.0
719,"Franklin, Arkansas",0.0
720,"Franklin, Florida",0.0
721,"Franklin, Idaho",0.0
722,"Franklin, Illinois",0.0
723,"Franklin, Indiana",0.0
724,"Franklin, Kansas",0.0
725,"Franklin, Kentucky",0.0
726,"Franklin, Louisiana",0.0
727,"Franklin, Maine",0.0
728,"Franklin, Massachusetts",0.0
729,"Franklin, Missouri",0.0
730,"Franklin, Nebraska",0.0
731,"Franklin, New York",0.0
732,"Franklin, North Carolina",0.0
733,"Franklin, Ohio",0.0
734,"Franklin, Pennsylvania",0.0
735,"Franklin, Texas",0.0
736,"Franklin, Vermont",0.0
737,"Franklin, Virginia",0.0
738,"Franklin, Washington",0.0
739,"Frederick, Maryland",0.0
740,"Frederick, Virginia",0.0
741,"Freeborn, Minnesota",0.0
742,"Freestone, Texas",0.0
743,"Fremont, Idaho",0.0
744,"Fremont, Wyoming",0.0
745,"Fresno, California",0.0
746,"Frio, Texas",0.0
747,"Frontier, Nebraska",0.0
748,"Fulton, Arkansas",0.0
749,"Fulton, Illinois",0.0
750,"Fulton, Indiana",0.0
751,"Fulton, Kentucky",0.0
752,"Fulton, New York",0.0
753,"Fulton, Pennsylvania",0.0
754,"Furnas, Nebraska",0.0
755,"Gadsden, Florida",0.0
756,"Gage, Nebraska",0.0
757,"Gaines, Texas",0.0
758,"Galax, Virginia",0.0
759,"Gallatin, Illinois",0.0
760,"Gallatin, Kentucky",0.0
761,"Gallatin, Montana",0.0
762,"Galveston, Texas",0.0
763,"Garden, Nebraska",0.0
764,"Garfield, Montana",0.0
765,"Garfield, Nebraska",0.0
766,"Garfield, Utah",0.0
767,"Garfield, Washington",0.0
768,"Garland, Arkansas",0.0
769,"Garrard, Kentucky",0.0
770,"Garrett, Maryland",0.0
771,"Garza, Texas",0.0
772,"Gasconade, Missouri",0.0
773,"Gaston, North Carolina",0.010413662239089185
774,"Gates, North Carolina",0.0
775,"Geary, Kansas",0.0
776,"Geauga, Ohio",0.0
777,"Gem, Idaho",0.0
778,"Genesee, New York",0.0
779,"Geneva, Alabama",0.0
780,"Gentry, Missouri",0.0
781,"Georgetown, South Carolina",0.0
782,"Gibson, Indiana",0.0
783,"Gila, Arizona",0.0
784,"Gilchrist, Florida",0.0
785,"Giles, Tennessee",0.0
786,"Giles, Virginia",0.0
787,"Gillespie, Texas",0.0
788,"Gilliam, Oregon",0.0
789,"Gilmer, West Virginia",0.0
790,"Glacier, Montana",0.0
791,"Glades, Florida",0.0
792,"Glasscock, Texas",0.0
793,"Gogebic, Michigan",0.0
794,"Golden valley, Montana",0.0
795,"Golden valley, North Dakota",0.0
796,"Goliad, Texas",0.0
797,"Gonzales, Texas",0.0
798,"Goochland, Virginia",0.0
799,"Goodhue, Minnesota",0.0
